,song_name,album_name,artist_name,duration_ms,uri,href,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,All For You - Close To You 2,Fun-Tastic,Fun Factory,260760,spotify:track:3tYHgNv5t0gLxHcluGgKJu,https://api.spotify.com/v1/tracks/3tYHgNv5t0gLxHcluGgKJu,0.638,0.824,10,-7.888,1,0.0336,0.00243,0.00119,0.161,0.575,136.027,audio_features,3tYHgNv5t0gLxHcluGgKJu,spotify:track:3tYHgNv5t0gLxHcluGgKJu,https://api.spotify.com/v1/tracks/3tYHgNv5t0gLxHcluGgKJu,https://api.spotify.com/v1/audio-analysis/3tYHgNv5t0gLxHcluGgKJu,260760,4
1,Take Your Chance,Back to the Factory,Fun Factory,254244,spotify:track:2tGJMY6byoAgfmMaCFtUuS,https://api.spotify.com/v1/tracks/2tGJMY6byoAgfmMaCFtUuS,0.626,0.953,11,-3.441,0,0.0341,0.0012,1.43e-05,0.14,0.676,139.023,audio_features,2tGJMY6byoAgfmMaCFtUuS,spotify:track:2tGJMY6byoAgfmMaCFtUuS,https://api.spotify.com/v1/tracks/2tGJMY6byoAgfmMaCFtUuS,https://api.spotify.com/v1/audio-analysis/2tGJMY6byoAgfmMaCFtUuS,254245,4
2,Highest N***az In The Industry,Lunitik Muzik,Luniz,294400,spotify:track:2nCx0euZLUHmlaGJ8woXeP,https://api.spotify.com/v1/tracks/2nCx0euZLUHmlaGJ8woXeP,0.746,0.555,11,-7.55,0,0.321,0.165,0.0,0.212,0.63,88.058,audio_features,2nCx0euZLUHmlaGJ8woXeP,spotify:track:2nCx0euZLUHmlaGJ8woXeP,https://api.spotify.com/v1/tracks/2nCx0euZLUHmlaGJ8woXeP,https://api.spotify.com/v1/audio-analysis/2nCx0euZLUHmlaGJ8woXeP,294400,4
3,Funkin Over Nuthin',Lunitik Muzik,Luniz,333266,spotify:track:0Fo4UyPW2hqcVnbIVnZ3oX,https://api.spotify.com/v1/tracks/0Fo4UyPW2hqcVnbIVnZ3oX,0.744,0.55,5,-7.825,0,0.438,0.056,0.0,0.326,0.862,179.252,audio_features,0Fo4UyPW2hqcVnbIVnZ3oX,spotify:track:0Fo4UyPW2hqcVnbIVnZ3oX,https://api.spotify.com/v1/tracks/0Fo4UyPW2hqcVnbIVnZ3oX,https://api.spotify.com/v1/audio-analysis/0Fo4UyPW2hqcVnbIVnZ3oX,333267,4
4,Jus Mee & U,Lunitik Muzik,Luniz,294333,spotify:track:3Z0ofkpAqXjEHNdXgNM0Ax,https://api.spotify.com/v1/tracks/3Z0ofkpAqXjEHNdXgNM0Ax,0.785,0.642,8,-7.35,1,0.332,0.0471,0.0,0.119,0.598,82.812,audio_features,3Z0ofkpAqXjEHNdXgNM0Ax,spotify:track:3Z0ofkpAqXjEHNdXgNM0Ax,https://api.spotify.com/v1/tracks/3Z0ofkpAqXjEHNdXgNM0Ax,https://api.spotify.com/v1/audio-analysis/3Z0ofkpAqXjEHNdXgNM0Ax,294333,4
5,Is It Kool?,Lunitik Muzik,Luniz,275306,spotify:track:4WPPwo44EOV1NZ2AlD1jtW,https://api.spotify.com/v1/tracks/4WPPwo44EOV1NZ2AlD1jtW,0.827,0.552,10,-5.93,0,0.292,0.0659,0.0,0.106,0.703,98.011,audio_features,4WPPwo44EOV1NZ2AlD1jtW,spotify:track:4WPPwo44EOV1NZ2AlD1jtW,https://api.spotify.com/v1/tracks/4WPPwo44EOV1NZ2AlD1jtW,https://api.spotify.com/v1/audio-analysis/4WPPwo44EOV1NZ2AlD1jtW,275307,4
6,$ad Millionaire,Lunitik Muzik,Luniz,283626,spotify:track:3uIDVaHUo62ZMn2tTP2gGO,https://api.spotify.com/v1/tracks/3uIDVaHUo62ZMn2tTP2gGO,0.611,0.553,1,-7.411,1,0.392,0.00464,0.0,0.0998,0.574,85.919,audio_features,3uIDVaHUo62ZMn2tTP2gGO,spotify:track:3uIDVaHUo62ZMn2tTP2gGO,https://api.spotify.com/v1/tracks/3uIDVaHUo62ZMn2tTP2gGO,https://api.spotify.com/v1/audio-analysis/3uIDVaHUo62ZMn2tTP2gGO,283627,4
7,Killaz On The Payroll,Lunitik Muzik,Luniz,363400,spotify:track:7L6A6TImxoS7neh1nXxBmI,https://api.spotify.com/v1/tracks/7L6A6TImxoS7neh1nXxBmI,0.75,0.689,7,-6.115,1,0.272,0.149,0.0,0.338,0.7,88.063,audio_features,7L6A6TImxoS7neh1nXxBmI,spotify:track:7L6A6TImxoS7neh1nXxBmI,https://api.spotify.com/v1/tracks/7L6A6TImxoS7neh1nXxBmI,https://api.spotify.com/v1/audio-analysis/7L6A6TImxoS7neh1nXxBmI,363400,4
8,Phillies,Lunitik Muzik,Luniz,280840,spotify:track:6sczUrldMRfCiY3LG9sk38,https://api.spotify.com/v1/tracks/6sczUrldMRfCiY3LG9sk38,0.76,0.717,1,-9.094,1,0.383,0.0137,0.0,0.265,0.675,90.348,audio_features,6sczUrldMRfCiY3LG9sk38,spotify:track:6sczUrldMRfCiY3LG9sk38,https://api.spotify.com/v1/tracks/6sczUrldMRfCiY3LG9sk38,https://api.spotify.com/v1/audio-analysis/6sczUrldMRfCiY3LG9sk38,280840,4
9,Y Do Thugz Die,Lunitik Muzik,Luniz,295200,spotify:track:2ytt74IC5UKcuLCylfOa7m,https://api.spotify.com/v1/tracks/2ytt74IC5UKcuLCylfOa7m,0.79,0.715,7,-5.719,1,0.0983,0.292,9.08e-06,0.148,0.779,88.01,audio_features,2ytt74IC5UKcuLCylfOa7m,spotify:track:2ytt74IC5UKcuLCylfOa7m,https://api.spotify.com/v1/tracks/2ytt74IC5UKcuLCylfOa7m,https://api.spotify.com/v1/audio-analysis/2ytt74IC5UKcuLCylfOa7m,295200,4
