,song_name,album_name,artist_name,duration_ms,uri,href,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,0
10,Les tzars - Live Version - 1997,Indo Live,Indochine,292866,spotify:track:5IssPJneSjqVlvA6ZfghVL,https://api.spotify.com/v1/tracks/5IssPJneSjqVlvA6ZfghVL,0.47,0.893,10.0,-8.418,0.0,0.0649,0.229,2.05e-05,0.9,0.543,144.05,audio_features,5IssPJneSjqVlvA6ZfghVL,spotify:track:5IssPJneSjqVlvA6ZfghVL,https://api.spotify.com/v1/tracks/5IssPJneSjqVlvA6ZfghVL,https://api.spotify.com/v1/audio-analysis/5IssPJneSjqVlvA6ZfghVL,292867.0,4.0,
11,Trois nuits par semaine,Putain de stade,Indochine,551706,spotify:track:7HGeeuXL4KuztZXhYLrsm5,https://api.spotify.com/v1/tracks/7HGeeuXL4KuztZXhYLrsm5,0.295,0.979,9.0,-5.123,1.0,0.128,0.00209,0.817,0.949,0.0487,144.126,audio_features,7HGeeuXL4KuztZXhYLrsm5,spotify:track:7HGeeuXL4KuztZXhYLrsm5,https://api.spotify.com/v1/tracks/7HGeeuXL4KuztZXhYLrsm5,https://api.spotify.com/v1/audio-analysis/7HGeeuXL4KuztZXhYLrsm5,551707.0,4.0,
12,Des fleurs pour Salinger - Live Version - 1997,Indo Live,Indochine,383773,spotify:track:5nLZCzXFaeTlYwT3FfqRnG,https://api.spotify.com/v1/tracks/5nLZCzXFaeTlYwT3FfqRnG,0.253,0.825,5.0,-12.954,1.0,0.326,0.00535,0.588,0.969,0.127,139.965,audio_features,5nLZCzXFaeTlYwT3FfqRnG,spotify:track:5nLZCzXFaeTlYwT3FfqRnG,https://api.spotify.com/v1/tracks/5nLZCzXFaeTlYwT3FfqRnG,https://api.spotify.com/v1/audio-analysis/5nLZCzXFaeTlYwT3FfqRnG,383773.0,4.0,
13,La chevauchée des champs de blé - Mix 2020,Singles Collection (1981-2001),Indochine,265786,spotify:track:5C1pvHoWyoBQvvuFJGzaM3,https://api.spotify.com/v1/tracks/5C1pvHoWyoBQvvuFJGzaM3,0.651,0.941,6.0,-4.37,1.0,0.0354,0.161,8.5e-05,0.068,0.863,138.073,audio_features,5C1pvHoWyoBQvvuFJGzaM3,spotify:track:5C1pvHoWyoBQvvuFJGzaM3,https://api.spotify.com/v1/tracks/5C1pvHoWyoBQvvuFJGzaM3,https://api.spotify.com/v1/audio-analysis/5C1pvHoWyoBQvvuFJGzaM3,265787.0,4.0,
14,Kao bang,Putain de stade,Indochine,193466,spotify:track:5o69CcRJnHEEcvPk21ANib,https://api.spotify.com/v1/tracks/5o69CcRJnHEEcvPk21ANib,0.227,0.967,0.0,-6.802,0.0,0.157,0.0875,0.0535,0.843,0.346,120.396,audio_features,5o69CcRJnHEEcvPk21ANib,spotify:track:5o69CcRJnHEEcvPk21ANib,https://api.spotify.com/v1/tracks/5o69CcRJnHEEcvPk21ANib,https://api.spotify.com/v1/audio-analysis/5o69CcRJnHEEcvPk21ANib,193467.0,4.0,
15,Un jour dans notre vie - Mix 2020,Singles Collection (1981-2001),Indochine,237973,spotify:track:4qWrVbdVp9MUAGcOaViiU2,https://api.spotify.com/v1/tracks/4qWrVbdVp9MUAGcOaViiU2,0.474,0.885,6.0,-5.306,1.0,0.0409,0.00287,0.00181,0.367,0.604,131.791,audio_features,4qWrVbdVp9MUAGcOaViiU2,spotify:track:4qWrVbdVp9MUAGcOaViiU2,https://api.spotify.com/v1/tracks/4qWrVbdVp9MUAGcOaViiU2,https://api.spotify.com/v1/audio-analysis/4qWrVbdVp9MUAGcOaViiU2,237973.0,4.0,
16,Un grand carnaval,Unita - Les Maxis,Indochine,358160,spotify:track:41SQ2bNLn0a9pb0cyR1eba,https://api.spotify.com/v1/tracks/41SQ2bNLn0a9pb0cyR1eba,0.592,0.988,11.0,-3.176,1.0,0.0482,0.136,0.00234,0.195,0.904,148.419,audio_features,41SQ2bNLn0a9pb0cyR1eba,spotify:track:41SQ2bNLn0a9pb0cyR1eba,https://api.spotify.com/v1/tracks/41SQ2bNLn0a9pb0cyR1eba,https://api.spotify.com/v1/audio-analysis/41SQ2bNLn0a9pb0cyR1eba,358160.0,4.0,
17,Tes yeux noirs,Putain de stade,Indochine,292053,spotify:track:09Nndpk12qXjO1WvvOAbZF,https://api.spotify.com/v1/tracks/09Nndpk12qXjO1WvvOAbZF,0.325,0.801,6.0,-7.581,0.0,0.0606,0.944,0.852,0.859,0.309,124.545,audio_features,09Nndpk12qXjO1WvvOAbZF,spotify:track:09Nndpk12qXjO1WvvOAbZF,https://api.spotify.com/v1/tracks/09Nndpk12qXjO1WvvOAbZF,https://api.spotify.com/v1/audio-analysis/09Nndpk12qXjO1WvvOAbZF,292053.0,4.0,
18,La machine à rattraper le temps - Mix 2020,Singles Collection (1981-2001),Indochine,294533,spotify:track:7qc7mXwoqUYLYwSb0s3dGh,https://api.spotify.com/v1/tracks/7qc7mXwoqUYLYwSb0s3dGh,0.526,0.885,0.0,-4.324,1.0,0.0463,0.0397,0.0,0.127,0.673,154.857,audio_features,7qc7mXwoqUYLYwSb0s3dGh,spotify:track:7qc7mXwoqUYLYwSb0s3dGh,https://api.spotify.com/v1/tracks/7qc7mXwoqUYLYwSb0s3dGh,https://api.spotify.com/v1/audio-analysis/7qc7mXwoqUYLYwSb0s3dGh,294533.0,4.0,
19,Canary Bay - Mix 2020,Singles Collection (1981-2001),Indochine,321466,spotify:track:6EyQwvXy1m2md0zYQW38b2,https://api.spotify.com/v1/tracks/6EyQwvXy1m2md0zYQW38b2,0.555,0.946,4.0,-4.043,1.0,0.0295,0.00217,0.00346,0.0391,0.952,142.255,audio_features,6EyQwvXy1m2md0zYQW38b2,spotify:track:6EyQwvXy1m2md0zYQW38b2,https://api.spotify.com/v1/tracks/6EyQwvXy1m2md0zYQW38b2,https://api.spotify.com/v1/audio-analysis/6EyQwvXy1m2md0zYQW38b2,321467.0,4.0,
20,Punishment Park,Unita (Best Of),Indochine,231706,spotify:track:6LH9ET3X9eeDEbDTDlmHlm,https://api.spotify.com/v1/tracks/6LH9ET3X9eeDEbDTDlmHlm,0.547,0.819,2.0,-5.226,1.0,0.0309,0.0141,6.65e-05,0.0705,0.354,140.463,audio_features,6LH9ET3X9eeDEbDTDlmHlm,spotify:track:6LH9ET3X9eeDEbDTDlmHlm,https://api.spotify.com/v1/tracks/6LH9ET3X9eeDEbDTDlmHlm,https://api.spotify.com/v1/audio-analysis/6LH9ET3X9eeDEbDTDlmHlm,231707.0,4.0,
21,Savoure le rouge - Live 1994,Radio Indochine,Indochine,325626,spotify:track:5FjygBhLyetEnzlKDUTnpR,https://api.spotify.com/v1/tracks/5FjygBhLyetEnzlKDUTnpR,0.396,0.938,4.0,-5.774,1.0,0.103,0.0896,0.00153,0.937,0.324,129.12,audio_features,5FjygBhLyetEnzlKDUTnpR,spotify:track:5FjygBhLyetEnzlKDUTnpR,https://api.spotify.com/v1/tracks/5FjygBhLyetEnzlKDUTnpR,https://api.spotify.com/v1/audio-analysis/5FjygBhLyetEnzlKDUTnpR,325627.0,4.0,
22,3e sexe - Live 1994,Radio Indochine,Indochine,225933,spotify:track:2B8HkN0jTlt4mV3nNgxPHw,https://api.spotify.com/v1/tracks/2B8HkN0jTlt4mV3nNgxPHw,0.47,0.549,5.0,-11.75,0.0,0.0414,0.841,7.25e-06,0.981,0.338,136.677,audio_features,2B8HkN0jTlt4mV3nNgxPHw,spotify:track:2B8HkN0jTlt4mV3nNgxPHw,https://api.spotify.com/v1/tracks/2B8HkN0jTlt4mV3nNgxPHw,https://api.spotify.com/v1/audio-analysis/2B8HkN0jTlt4mV3nNgxPHw,225933.0,4.0,
23,Dizzidence Politik - Pacifik Version,Le Birthday album,Indochine,258333,spotify:track:2nMlUUobF58ld96yjZFCdX,https://api.spotify.com/v1/tracks/2nMlUUobF58ld96yjZFCdX,0.685,0.753,9.0,-8.529,1.0,0.153,0.0496,0.00155,0.0779,0.805,190.29,audio_features,2nMlUUobF58ld96yjZFCdX,spotify:track:2nMlUUobF58ld96yjZFCdX,https://api.spotify.com/v1/tracks/2nMlUUobF58ld96yjZFCdX,https://api.spotify.com/v1/audio-analysis/2nMlUUobF58ld96yjZFCdX,258333.0,4.0,
