,song_name,album_name,artist_name,duration_ms,uri,href,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,O Que Vier Eu Traco,Rio After Dark,Ana Caram,131493,spotify:track:11UKvvx4OcVbjNH9kJSSqk,https://api.spotify.com/v1/tracks/11UKvvx4OcVbjNH9kJSSqk,0.716,0.136,9,-21.941,0,0.144,0.697,0.000457,0.0659,0.925,114.433,audio_features,11UKvvx4OcVbjNH9kJSSqk,spotify:track:11UKvvx4OcVbjNH9kJSSqk,https://api.spotify.com/v1/tracks/11UKvvx4OcVbjNH9kJSSqk,https://api.spotify.com/v1/audio-analysis/11UKvvx4OcVbjNH9kJSSqk,131493,3
1,Sem Lengenda,Rio After Dark,Ana Caram,176066,spotify:track:0UQLWd6mrzNRkJuH6asiHY,https://api.spotify.com/v1/tracks/0UQLWd6mrzNRkJuH6asiHY,0.319,0.00886,9,-27.642,0,0.0344,0.885,0.0,0.0895,0.155,89.903,audio_features,0UQLWd6mrzNRkJuH6asiHY,spotify:track:0UQLWd6mrzNRkJuH6asiHY,https://api.spotify.com/v1/tracks/0UQLWd6mrzNRkJuH6asiHY,https://api.spotify.com/v1/audio-analysis/0UQLWd6mrzNRkJuH6asiHY,176067,4
2,O Tempo E O Lugar,Rio After Dark,Ana Caram,262200,spotify:track:0p9dDSUOcuHdjVKB8g4gJX,https://api.spotify.com/v1/tracks/0p9dDSUOcuHdjVKB8g4gJX,0.396,0.0255,4,-28.532,0,0.0503,0.931,4.58e-05,0.0944,0.179,170.623,audio_features,0p9dDSUOcuHdjVKB8g4gJX,spotify:track:0p9dDSUOcuHdjVKB8g4gJX,https://api.spotify.com/v1/tracks/0p9dDSUOcuHdjVKB8g4gJX,https://api.spotify.com/v1/audio-analysis/0p9dDSUOcuHdjVKB8g4gJX,262200,4
3,VinterNoll2,FF / VinterNoll2,kent,265440,spotify:track:7sgGULtAhIts3SeZdou7py,https://api.spotify.com/v1/tracks/7sgGULtAhIts3SeZdou7py,0.501,0.952,1,-3.899,0,0.0415,0.000285,0.0154,0.129,0.427,138.015,audio_features,7sgGULtAhIts3SeZdou7py,spotify:track:7sgGULtAhIts3SeZdou7py,https://api.spotify.com/v1/tracks/7sgGULtAhIts3SeZdou7py,https://api.spotify.com/v1/audio-analysis/7sgGULtAhIts3SeZdou7py,265440,4
4,Commidity,Imaginary Hospitals,Travelogue,216360,spotify:track:7kUjwxjpMixipkMrE7ks4s,https://api.spotify.com/v1/tracks/7kUjwxjpMixipkMrE7ks4s,0.611,0.512,11,-16.053,1,0.0517,0.00224,0.169,0.352,0.432,83.981,audio_features,7kUjwxjpMixipkMrE7ks4s,spotify:track:7kUjwxjpMixipkMrE7ks4s,https://api.spotify.com/v1/tracks/7kUjwxjpMixipkMrE7ks4s,https://api.spotify.com/v1/audio-analysis/7kUjwxjpMixipkMrE7ks4s,216360,4
5,Channel 37 - B-side Mix,"Singles, Compilations, and Remixes",Travelogue,248613,spotify:track:6ru7afQM0IPHmc2mCp578T,https://api.spotify.com/v1/tracks/6ru7afQM0IPHmc2mCp578T,0.608,0.575,2,-16.867,1,0.0495,0.335,0.445,0.0851,0.551,170.814,audio_features,6ru7afQM0IPHmc2mCp578T,spotify:track:6ru7afQM0IPHmc2mCp578T,https://api.spotify.com/v1/tracks/6ru7afQM0IPHmc2mCp578T,https://api.spotify.com/v1/audio-analysis/6ru7afQM0IPHmc2mCp578T,248613,4
6,Sumner Street,Imaginary Hospitals,Travelogue,245373,spotify:track:29M4jcoVMxs2EE4H6vFqnm,https://api.spotify.com/v1/tracks/29M4jcoVMxs2EE4H6vFqnm,0.377,0.394,0,-22.08,0,0.0649,0.4,0.893,0.125,0.152,142.947,audio_features,29M4jcoVMxs2EE4H6vFqnm,spotify:track:29M4jcoVMxs2EE4H6vFqnm,https://api.spotify.com/v1/tracks/29M4jcoVMxs2EE4H6vFqnm,https://api.spotify.com/v1/audio-analysis/29M4jcoVMxs2EE4H6vFqnm,245373,4
7,Got To Be Some Changes Made,The Sonet Blues Story,Otis Rush,379066,spotify:track:3NZIdIeyJRWqWiDou5bFA6,https://api.spotify.com/v1/tracks/3NZIdIeyJRWqWiDou5bFA6,0.609,0.52,2,-11.33,1,0.0355,0.0392,0.000115,0.314,0.51,96.992,audio_features,3NZIdIeyJRWqWiDou5bFA6,spotify:track:3NZIdIeyJRWqWiDou5bFA6,https://api.spotify.com/v1/tracks/3NZIdIeyJRWqWiDou5bFA6,https://api.spotify.com/v1/audio-analysis/3NZIdIeyJRWqWiDou5bFA6,379067,4
8,Basin Street Blues,Seven Steps To Heaven (Expanded Edition),Miles Davis,627733,spotify:track:4Sg0W2BElMlqk2QVCz7xlP,https://api.spotify.com/v1/tracks/4Sg0W2BElMlqk2QVCz7xlP,0.515,0.0936,4,-15.39,0,0.0361,0.739,6.52e-05,0.0911,0.11,106.868,audio_features,4Sg0W2BElMlqk2QVCz7xlP,spotify:track:4Sg0W2BElMlqk2QVCz7xlP,https://api.spotify.com/v1/tracks/4Sg0W2BElMlqk2QVCz7xlP,https://api.spotify.com/v1/audio-analysis/4Sg0W2BElMlqk2QVCz7xlP,627733,4
9,Seven Steps to Heaven - Edit,Miles Ahead (Original Motion Picture Soundtrack),Miles Davis,203280,spotify:track:7HtGE25z9PiAk2MksJasKl,https://api.spotify.com/v1/tracks/7HtGE25z9PiAk2MksJasKl,0.538,0.464,5,-13.113,0,0.0628,0.257,0.00109,0.142,0.682,142.335,audio_features,7HtGE25z9PiAk2MksJasKl,spotify:track:7HtGE25z9PiAk2MksJasKl,https://api.spotify.com/v1/tracks/7HtGE25z9PiAk2MksJasKl,https://api.spotify.com/v1/audio-analysis/7HtGE25z9PiAk2MksJasKl,203280,4
10,I Fall In Love Too Easily,Seven Steps To Heaven (Expanded Edition),Miles Davis,403826,spotify:track:32YZWXNhOd70F19BZSU73w,https://api.spotify.com/v1/tracks/32YZWXNhOd70F19BZSU73w,0.494,0.162,5,-15.041,0,0.0362,0.567,0.000117,0.109,0.179,107.687,audio_features,32YZWXNhOd70F19BZSU73w,spotify:track:32YZWXNhOd70F19BZSU73w,https://api.spotify.com/v1/tracks/32YZWXNhOd70F19BZSU73w,https://api.spotify.com/v1/audio-analysis/32YZWXNhOd70F19BZSU73w,403827,4
11,"So Near, So Far",Directions,Miles Davis,313546,spotify:track:7gujaTRXqdRsSgSNfJKyEd,https://api.spotify.com/v1/tracks/7gujaTRXqdRsSgSNfJKyEd,0.553,0.395,7,-13.4,1,0.0383,0.415,0.00127,0.249,0.506,101.523,audio_features,7gujaTRXqdRsSgSNfJKyEd,spotify:track:7gujaTRXqdRsSgSNfJKyEd,https://api.spotify.com/v1/tracks/7gujaTRXqdRsSgSNfJKyEd,https://api.spotify.com/v1/audio-analysis/7gujaTRXqdRsSgSNfJKyEd,313547,4
12,Baby Won't You Please Come Home,Seven Steps To Heaven (Expanded Edition),Miles Davis,505493,spotify:track:0W5Szvf48ubKfPvgsZIEZ6,https://api.spotify.com/v1/tracks/0W5Szvf48ubKfPvgsZIEZ6,0.544,0.162,7,-13.736,1,0.0408,0.68,0.000193,0.208,0.194,109.973,audio_features,0W5Szvf48ubKfPvgsZIEZ6,spotify:track:0W5Szvf48ubKfPvgsZIEZ6,https://api.spotify.com/v1/tracks/0W5Szvf48ubKfPvgsZIEZ6,https://api.spotify.com/v1/audio-analysis/0W5Szvf48ubKfPvgsZIEZ6,505493,4
13,"So Near, So Far",Directions,Miles Davis,313546,spotify:track:7gujaTRXqdRsSgSNfJKyEd,https://api.spotify.com/v1/tracks/7gujaTRXqdRsSgSNfJKyEd,0.553,0.395,7,-13.4,1,0.0383,0.415,0.00127,0.249,0.506,101.523,audio_features,7gujaTRXqdRsSgSNfJKyEd,spotify:track:7gujaTRXqdRsSgSNfJKyEd,https://api.spotify.com/v1/tracks/7gujaTRXqdRsSgSNfJKyEd,https://api.spotify.com/v1/audio-analysis/7gujaTRXqdRsSgSNfJKyEd,313547,4
14,our lady of the angels,A Night In New York,The Durutti Column,311266,spotify:track:29tX6wydt3seODx0CiBDKr,https://api.spotify.com/v1/tracks/29tX6wydt3seODx0CiBDKr,0.791,0.368,9,-19.324,1,0.0495,0.455,0.891,0.657,0.646,135.159,audio_features,29tX6wydt3seODx0CiBDKr,spotify:track:29tX6wydt3seODx0CiBDKr,https://api.spotify.com/v1/tracks/29tX6wydt3seODx0CiBDKr,https://api.spotify.com/v1/audio-analysis/29tX6wydt3seODx0CiBDKr,311267,4
15,miss haymes,A Night In New York,The Durutti Column,346880,spotify:track:41Vrqt39gRhw0Gh7B1uHH6,https://api.spotify.com/v1/tracks/41Vrqt39gRhw0Gh7B1uHH6,0.376,0.22,0,-23.148,0,0.104,0.852,0.299,0.121,0.136,155.507,audio_features,41Vrqt39gRhw0Gh7B1uHH6,spotify:track:41Vrqt39gRhw0Gh7B1uHH6,https://api.spotify.com/v1/tracks/41Vrqt39gRhw0Gh7B1uHH6,https://api.spotify.com/v1/audio-analysis/41Vrqt39gRhw0Gh7B1uHH6,346880,4
16,Jacqueline,LC,The Durutti Column,135680,spotify:track:0DA459lZrZqqOPO2m2ekSE,https://api.spotify.com/v1/tracks/0DA459lZrZqqOPO2m2ekSE,0.659,0.447,2,-12.767,1,0.0476,0.948,0.921,0.126,0.487,107.44,audio_features,0DA459lZrZqqOPO2m2ekSE,spotify:track:0DA459lZrZqqOPO2m2ekSE,https://api.spotify.com/v1/tracks/0DA459lZrZqqOPO2m2ekSE,https://api.spotify.com/v1/audio-analysis/0DA459lZrZqqOPO2m2ekSE,135680,4
