,song_name,album_name,artist_name,duration_ms,uri,href,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Winged Rumor,Look Blue Go Purple Compilation,Look Blue Go Purple,251893,spotify:track:7wVHyz1Nh4f9qcOOGPyiY3,https://api.spotify.com/v1/tracks/7wVHyz1Nh4f9qcOOGPyiY3,0.311,0.678,2,-14.201,1,0.0306,0.000963,0.85,0.105,0.6,135.719,audio_features,7wVHyz1Nh4f9qcOOGPyiY3,spotify:track:7wVHyz1Nh4f9qcOOGPyiY3,https://api.spotify.com/v1/tracks/7wVHyz1Nh4f9qcOOGPyiY3,https://api.spotify.com/v1/audio-analysis/7wVHyz1Nh4f9qcOOGPyiY3,251893,4
1,Circumspect Penelope,Tuatara,Look Blue Go Purple,176466,spotify:track:4FK9XBQQ4QRuJWNZpk9VJl,https://api.spotify.com/v1/tracks/4FK9XBQQ4QRuJWNZpk9VJl,0.269,0.718,11,-12.975,0,0.0385,0.00022,0.256,0.203,0.697,142.608,audio_features,4FK9XBQQ4QRuJWNZpk9VJl,spotify:track:4FK9XBQQ4QRuJWNZpk9VJl,https://api.spotify.com/v1/tracks/4FK9XBQQ4QRuJWNZpk9VJl,https://api.spotify.com/v1/audio-analysis/4FK9XBQQ4QRuJWNZpk9VJl,176467,4
2,Hiawatha,Look Blue Go Purple Compilation,Look Blue Go Purple,209173,spotify:track:12GtYHoQvwxrYJ9ttDuWgR,https://api.spotify.com/v1/tracks/12GtYHoQvwxrYJ9ttDuWgR,0.479,0.755,11,-11.89,1,0.0311,0.000232,0.885,0.207,0.476,134.998,audio_features,12GtYHoQvwxrYJ9ttDuWgR,spotify:track:12GtYHoQvwxrYJ9ttDuWgR,https://api.spotify.com/v1/tracks/12GtYHoQvwxrYJ9ttDuWgR,https://api.spotify.com/v1/audio-analysis/12GtYHoQvwxrYJ9ttDuWgR,209173,4
3,Cactus Cat,Look Blue Go Purple Compilation,Look Blue Go Purple,206626,spotify:track:5qvGkIdusGAlr1Dv0zKu0q,https://api.spotify.com/v1/tracks/5qvGkIdusGAlr1Dv0zKu0q,0.274,0.717,7,-10.897,1,0.0286,0.0209,0.00202,0.356,0.808,141.243,audio_features,5qvGkIdusGAlr1Dv0zKu0q,spotify:track:5qvGkIdusGAlr1Dv0zKu0q,https://api.spotify.com/v1/tracks/5qvGkIdusGAlr1Dv0zKu0q,https://api.spotify.com/v1/audio-analysis/5qvGkIdusGAlr1Dv0zKu0q,206627,4
4,Vain Hopes,Look Blue Go Purple Compilation,Look Blue Go Purple,279640,spotify:track:7jcRRSHakAQyQvZ7HTMjNq,https://api.spotify.com/v1/tracks/7jcRRSHakAQyQvZ7HTMjNq,0.343,0.388,0,-15.737,1,0.0337,0.000316,0.105,0.0813,0.368,125.532,audio_features,7jcRRSHakAQyQvZ7HTMjNq,spotify:track:7jcRRSHakAQyQvZ7HTMjNq,https://api.spotify.com/v1/tracks/7jcRRSHakAQyQvZ7HTMjNq,https://api.spotify.com/v1/audio-analysis/7jcRRSHakAQyQvZ7HTMjNq,279640,4
5,I Don't Want You Anyway,Look Blue Go Purple Compilation,Look Blue Go Purple,177333,spotify:track:5JdY3aB0msrkLZya4fEerb,https://api.spotify.com/v1/tracks/5JdY3aB0msrkLZya4fEerb,0.425,0.857,2,-11.76,1,0.0357,0.00617,0.000459,0.0816,0.634,153.273,audio_features,5JdY3aB0msrkLZya4fEerb,spotify:track:5JdY3aB0msrkLZya4fEerb,https://api.spotify.com/v1/tracks/5JdY3aB0msrkLZya4fEerb,https://api.spotify.com/v1/audio-analysis/5JdY3aB0msrkLZya4fEerb,177333,4
6,Conscious Unconscious,Look Blue Go Purple Compilation,Look Blue Go Purple,208906,spotify:track:527B98MzlsmR1B2Jq9FQmp,https://api.spotify.com/v1/tracks/527B98MzlsmR1B2Jq9FQmp,0.52,0.801,9,-10.924,0,0.0273,0.551,0.938,0.115,0.491,135.783,audio_features,527B98MzlsmR1B2Jq9FQmp,spotify:track:527B98MzlsmR1B2Jq9FQmp,https://api.spotify.com/v1/tracks/527B98MzlsmR1B2Jq9FQmp,https://api.spotify.com/v1/audio-analysis/527B98MzlsmR1B2Jq9FQmp,208907,4
7,Intro Interview,Totally Krossed Out,Kris Kross,53066,spotify:track:7L9QkjB1AUxHk4JuzZxHvH,https://api.spotify.com/v1/tracks/7L9QkjB1AUxHk4JuzZxHvH,0.563,0.569,9,-12.029,1,0.566,0.598,0.0,0.66,0.859,199.305,audio_features,7L9QkjB1AUxHk4JuzZxHvH,spotify:track:7L9QkjB1AUxHk4JuzZxHvH,https://api.spotify.com/v1/tracks/7L9QkjB1AUxHk4JuzZxHvH,https://api.spotify.com/v1/audio-analysis/7L9QkjB1AUxHk4JuzZxHvH,53067,4
8,Jump,Totally Krossed Out,Kris Kross,195106,spotify:track:27AHAtAirQapVldIm4c9ZX,https://api.spotify.com/v1/tracks/27AHAtAirQapVldIm4c9ZX,0.749,0.745,2,-10.625,1,0.164,0.000501,0.00403,0.333,0.481,101.972,audio_features,27AHAtAirQapVldIm4c9ZX,spotify:track:27AHAtAirQapVldIm4c9ZX,https://api.spotify.com/v1/tracks/27AHAtAirQapVldIm4c9ZX,https://api.spotify.com/v1/audio-analysis/27AHAtAirQapVldIm4c9ZX,195107,4
9,LIL BOYS IN DA HOOD,JUMP (Radio Edit),Kris Kross,183240,spotify:track:3k8zOLRCLAuOObxt2Oe8cM,https://api.spotify.com/v1/tracks/3k8zOLRCLAuOObxt2Oe8cM,0.758,0.607,4,-11.512,0,0.243,0.00429,0.000452,0.0945,0.453,102.766,audio_features,3k8zOLRCLAuOObxt2Oe8cM,spotify:track:3k8zOLRCLAuOObxt2Oe8cM,https://api.spotify.com/v1/tracks/3k8zOLRCLAuOObxt2Oe8cM,https://api.spotify.com/v1/audio-analysis/3k8zOLRCLAuOObxt2Oe8cM,183240,4
10,Warm It Up,Totally Krossed Out,Kris Kross,248333,spotify:track:4Gv46S98aguDKuKTrbRBus,https://api.spotify.com/v1/tracks/4Gv46S98aguDKuKTrbRBus,0.865,0.778,1,-10.05,1,0.249,0.0411,0.0,0.303,0.763,103.008,audio_features,4Gv46S98aguDKuKTrbRBus,spotify:track:4Gv46S98aguDKuKTrbRBus,https://api.spotify.com/v1/tracks/4Gv46S98aguDKuKTrbRBus,https://api.spotify.com/v1/audio-analysis/4Gv46S98aguDKuKTrbRBus,248333,4
11,The Way Of The Rhyme - Live Version,"The Best Of Kris Kross Remixed: '92, '94, '96",Kris Kross,258333,spotify:track:1hcNZfdYps29jwVtekaDj0,https://api.spotify.com/v1/tracks/1hcNZfdYps29jwVtekaDj0,0.55,0.799,4,-9.907,0,0.333,0.0327,0.02,0.906,0.331,100.38,audio_features,1hcNZfdYps29jwVtekaDj0,spotify:track:1hcNZfdYps29jwVtekaDj0,https://api.spotify.com/v1/tracks/1hcNZfdYps29jwVtekaDj0,https://api.spotify.com/v1/audio-analysis/1hcNZfdYps29jwVtekaDj0,258333,4
12,A Real Bad Dream,Totally Krossed Out,Kris Kross,118680,spotify:track:15akow6S45PidLlf4XZzcD,https://api.spotify.com/v1/tracks/15akow6S45PidLlf4XZzcD,0.753,0.699,11,-13.101,0,0.168,0.00682,0.0913,0.085,0.889,161.927,audio_features,15akow6S45PidLlf4XZzcD,spotify:track:15akow6S45PidLlf4XZzcD,https://api.spotify.com/v1/tracks/15akow6S45PidLlf4XZzcD,https://api.spotify.com/v1/audio-analysis/15akow6S45PidLlf4XZzcD,118680,4
13,You Can't Get With This,Totally Krossed Out,Kris Kross,143226,spotify:track:2TfoRlxJgYqbGegmjc3mqs,https://api.spotify.com/v1/tracks/2TfoRlxJgYqbGegmjc3mqs,0.757,0.534,10,-11.815,0,0.317,0.0291,0.0,0.523,0.628,87.008,audio_features,2TfoRlxJgYqbGegmjc3mqs,spotify:track:2TfoRlxJgYqbGegmjc3mqs,https://api.spotify.com/v1/tracks/2TfoRlxJgYqbGegmjc3mqs,https://api.spotify.com/v1/audio-analysis/2TfoRlxJgYqbGegmjc3mqs,143227,4
14,I Missed the Bus - Backwards to School Extended Version,I Missed the Bus EP,Kris Kross,289066,spotify:track:4rFY6KAyOsZkRsnPfCIHC9,https://api.spotify.com/v1/tracks/4rFY6KAyOsZkRsnPfCIHC9,0.935,0.865,4,-9.536,0,0.104,0.0142,0.335,0.77,0.328,108.14,audio_features,4rFY6KAyOsZkRsnPfCIHC9,spotify:track:4rFY6KAyOsZkRsnPfCIHC9,https://api.spotify.com/v1/tracks/4rFY6KAyOsZkRsnPfCIHC9,https://api.spotify.com/v1/audio-analysis/4rFY6KAyOsZkRsnPfCIHC9,289067,4
15,Party - Krossed Mix,Totally Krossed Out,Kris Kross,250106,spotify:track:61CLfWxZDbTFD237IEvBrY,https://api.spotify.com/v1/tracks/61CLfWxZDbTFD237IEvBrY,0.749,0.839,2,-11.535,1,0.0752,0.00364,1.49e-05,0.253,0.575,114.812,audio_features,61CLfWxZDbTFD237IEvBrY,spotify:track:61CLfWxZDbTFD237IEvBrY,https://api.spotify.com/v1/tracks/61CLfWxZDbTFD237IEvBrY,https://api.spotify.com/v1/audio-analysis/61CLfWxZDbTFD237IEvBrY,250107,4
16,Jump - Extended Dance Mix,Jump,Kris Kross,408626,spotify:track:7EevmGI9GT7CaFDxVszsya,https://api.spotify.com/v1/tracks/7EevmGI9GT7CaFDxVszsya,0.789,0.927,1,-6.962,1,0.0662,0.000154,0.0255,0.101,0.613,103.308,audio_features,7EevmGI9GT7CaFDxVszsya,spotify:track:7EevmGI9GT7CaFDxVszsya,https://api.spotify.com/v1/tracks/7EevmGI9GT7CaFDxVszsya,https://api.spotify.com/v1/audio-analysis/7EevmGI9GT7CaFDxVszsya,408627,4
17,Vision of Love - Live at the Tokyo Dome,The Rarities,Mariah Carey,226893,spotify:track:2HAGnQjfGe8RgzMwzmDMbA,https://api.spotify.com/v1/tracks/2HAGnQjfGe8RgzMwzmDMbA,0.345,0.747,4,-4.885,1,0.0651,0.423,0.0,0.883,0.384,102.824,audio_features,2HAGnQjfGe8RgzMwzmDMbA,spotify:track:2HAGnQjfGe8RgzMwzmDMbA,https://api.spotify.com/v1/tracks/2HAGnQjfGe8RgzMwzmDMbA,https://api.spotify.com/v1/audio-analysis/2HAGnQjfGe8RgzMwzmDMbA,226893,3
18,"Love Takes Time - Live at the Tatou Club, 1990",The Live Debut - 1990,Mariah Carey,255996,spotify:track:1aVwuBnIpjRg7vE1G2nLvM,https://api.spotify.com/v1/tracks/1aVwuBnIpjRg7vE1G2nLvM,0.534,0.46,11,-9.82,1,0.0559,0.572,0.0,0.594,0.339,125.323,audio_features,1aVwuBnIpjRg7vE1G2nLvM,spotify:track:1aVwuBnIpjRg7vE1G2nLvM,https://api.spotify.com/v1/tracks/1aVwuBnIpjRg7vE1G2nLvM,https://api.spotify.com/v1/audio-analysis/1aVwuBnIpjRg7vE1G2nLvM,255997,4
19,I Don't Wanna Cry,#1 to Infinity,Mariah Carey,288986,spotify:track:45wIVQvD9kg9CXyAtN1DD9,https://api.spotify.com/v1/tracks/45wIVQvD9kg9CXyAtN1DD9,0.647,0.692,6,-6.073,0,0.028,0.219,8.6e-05,0.325,0.262,130.796,audio_features,45wIVQvD9kg9CXyAtN1DD9,spotify:track:45wIVQvD9kg9CXyAtN1DD9,https://api.spotify.com/v1/tracks/45wIVQvD9kg9CXyAtN1DD9,https://api.spotify.com/v1/audio-analysis/45wIVQvD9kg9CXyAtN1DD9,288987,4
20,Emotions,Emotions,Mariah Carey,248093,spotify:track:0cELvuwJW1acISUHYB6suj,https://api.spotify.com/v1/tracks/0cELvuwJW1acISUHYB6suj,0.74,0.752,9,-7.008,0,0.0359,0.0409,0.00125,0.0233,0.939,114.851,audio_features,0cELvuwJW1acISUHYB6suj,spotify:track:0cELvuwJW1acISUHYB6suj,https://api.spotify.com/v1/tracks/0cELvuwJW1acISUHYB6suj,https://api.spotify.com/v1/audio-analysis/0cELvuwJW1acISUHYB6suj,248093,4
21,Make It Happen,Emotions,Mariah Carey,307000,spotify:track:5UVcgBRW78CCcKCopEGAST,https://api.spotify.com/v1/tracks/5UVcgBRW78CCcKCopEGAST,0.811,0.531,2,-8.537,0,0.0355,0.00657,0.0285,0.0801,0.752,107.853,audio_features,5UVcgBRW78CCcKCopEGAST,spotify:track:5UVcgBRW78CCcKCopEGAST,https://api.spotify.com/v1/tracks/5UVcgBRW78CCcKCopEGAST,https://api.spotify.com/v1/audio-analysis/5UVcgBRW78CCcKCopEGAST,307000,4
22,Dreamlover - Def Club Mix,Dreamlover EP,Mariah Carey,645888,spotify:track:6erEEj4sUVJObSXRecBc4a,https://api.spotify.com/v1/tracks/6erEEj4sUVJObSXRecBc4a,0.774,0.932,7,-9.272,0,0.0358,0.00422,0.0168,0.503,0.619,120.935,audio_features,6erEEj4sUVJObSXRecBc4a,spotify:track:6erEEj4sUVJObSXRecBc4a,https://api.spotify.com/v1/tracks/6erEEj4sUVJObSXRecBc4a,https://api.spotify.com/v1/audio-analysis/6erEEj4sUVJObSXRecBc4a,645888,4
23,Anytime You Need a Friend - C&C Club Version,Anytime You Need A Friend EP,Mariah Carey,653602,spotify:track:2UIPqRwZDwvcInqRnXvGdw,https://api.spotify.com/v1/tracks/2UIPqRwZDwvcInqRnXvGdw,0.691,0.917,0,-8.304,1,0.0341,0.00946,0.00628,0.215,0.681,121.899,audio_features,2UIPqRwZDwvcInqRnXvGdw,spotify:track:2UIPqRwZDwvcInqRnXvGdw,https://api.spotify.com/v1/tracks/2UIPqRwZDwvcInqRnXvGdw,https://api.spotify.com/v1/audio-analysis/2UIPqRwZDwvcInqRnXvGdw,653603,4
