,song_name,album_name,artist_name,duration_ms,uri,href,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Nickel Romeo,Doll Revolution,The Bangles,297266,spotify:track:6juwHlykZqisioPQ59LZhz,https://api.spotify.com/v1/tracks/6juwHlykZqisioPQ59LZhz,0.52,0.762,2,-6.026,1,0.0266,0.0292,0.000226,0.22,0.547,92.158,audio_features,6juwHlykZqisioPQ59LZhz,spotify:track:6juwHlykZqisioPQ59LZhz,https://api.spotify.com/v1/tracks/6juwHlykZqisioPQ59LZhz,https://api.spotify.com/v1/audio-analysis/6juwHlykZqisioPQ59LZhz,297267,4
1,I Will Take Care Of You,Doll Revolution,The Bangles,236866,spotify:track:39hJ7RwNn2hgv5oGAksAOF,https://api.spotify.com/v1/tracks/39hJ7RwNn2hgv5oGAksAOF,0.503,0.407,1,-6.643,1,0.0264,0.375,1.45e-06,0.0769,0.324,139.882,audio_features,39hJ7RwNn2hgv5oGAksAOF,spotify:track:39hJ7RwNn2hgv5oGAksAOF,https://api.spotify.com/v1/tracks/39hJ7RwNn2hgv5oGAksAOF,https://api.spotify.com/v1/audio-analysis/39hJ7RwNn2hgv5oGAksAOF,236867,4
2,Single By Choice,Doll Revolution,The Bangles,221173,spotify:track:1vNbRbcIA5fPFk8dslnFgl,https://api.spotify.com/v1/tracks/1vNbRbcIA5fPFk8dslnFgl,0.494,0.647,7,-6.411,1,0.0299,0.00906,1.68e-06,0.127,0.247,113.132,audio_features,1vNbRbcIA5fPFk8dslnFgl,spotify:track:1vNbRbcIA5fPFk8dslnFgl,https://api.spotify.com/v1/tracks/1vNbRbcIA5fPFk8dslnFgl,https://api.spotify.com/v1/audio-analysis/1vNbRbcIA5fPFk8dslnFgl,221173,4
3,How Can I Refuse - Live At The Centrum/1990,Rock The House Live!,Heart,304893,spotify:track:2pBi12dexC3nNHz5zJfRRG,https://api.spotify.com/v1/tracks/2pBi12dexC3nNHz5zJfRRG,0.452,0.854,4,-9.073,1,0.0348,0.000305,0.546,0.968,0.548,139.159,audio_features,2pBi12dexC3nNHz5zJfRRG,spotify:track:2pBi12dexC3nNHz5zJfRRG,https://api.spotify.com/v1/tracks/2pBi12dexC3nNHz5zJfRRG,https://api.spotify.com/v1/audio-analysis/2pBi12dexC3nNHz5zJfRRG,304893,4
4,(Beat By) Jealousy,Passionworks,Heart,200333,spotify:track:2hWLY0vPbXxhwmZtlccRhc,https://api.spotify.com/v1/tracks/2hWLY0vPbXxhwmZtlccRhc,0.569,0.667,9,-10.462,1,0.0386,0.0204,0.000656,0.256,0.485,102.923,audio_features,2hWLY0vPbXxhwmZtlccRhc,spotify:track:2hWLY0vPbXxhwmZtlccRhc,https://api.spotify.com/v1/tracks/2hWLY0vPbXxhwmZtlccRhc,https://api.spotify.com/v1/audio-analysis/2hWLY0vPbXxhwmZtlccRhc,200333,4
5,Slowly Then Suddenly,Three Chords And A Cloud Of Dust II,Watershed,203800,spotify:track:0YvK6UFrhr1OnukmhkLzn8,https://api.spotify.com/v1/tracks/0YvK6UFrhr1OnukmhkLzn8,0.314,0.966,4,-4.169,1,0.117,0.00356,0.0,0.818,0.293,132.956,audio_features,0YvK6UFrhr1OnukmhkLzn8,spotify:track:0YvK6UFrhr1OnukmhkLzn8,https://api.spotify.com/v1/tracks/0YvK6UFrhr1OnukmhkLzn8,https://api.spotify.com/v1/audio-analysis/0YvK6UFrhr1OnukmhkLzn8,203800,4
6,Minun joululauluni,Minun Joululauluni,Anne Mattila,215293,spotify:track:4TpHLIEreyPS1S5QwJ2rhw,https://api.spotify.com/v1/tracks/4TpHLIEreyPS1S5QwJ2rhw,0.446,0.487,5,-6.135,1,0.0295,0.683,0.0,0.145,0.225,119.838,audio_features,4TpHLIEreyPS1S5QwJ2rhw,spotify:track:4TpHLIEreyPS1S5QwJ2rhw,https://api.spotify.com/v1/tracks/4TpHLIEreyPS1S5QwJ2rhw,https://api.spotify.com/v1/audio-analysis/4TpHLIEreyPS1S5QwJ2rhw,215293,3
7,Joulu on se verraton,Minun Joululauluni,Anniina Mattila,180760,spotify:track:3NteSHrz70yssvX6LClrZY,https://api.spotify.com/v1/tracks/3NteSHrz70yssvX6LClrZY,0.59,0.728,2,-5.408,1,0.045,0.228,0.0,0.197,0.672,150.024,audio_features,3NteSHrz70yssvX6LClrZY,spotify:track:3NteSHrz70yssvX6LClrZY,https://api.spotify.com/v1/tracks/3NteSHrz70yssvX6LClrZY,https://api.spotify.com/v1/audio-analysis/3NteSHrz70yssvX6LClrZY,180760,4
8,Joulun paperitähti,Minun Joululauluni,Anniina Mattila,206440,spotify:track:3lSe1TUbXbe7tWvVhhfSYC,https://api.spotify.com/v1/tracks/3lSe1TUbXbe7tWvVhhfSYC,0.675,0.387,7,-7.151,1,0.0269,0.738,0.0,0.105,0.224,135.841,audio_features,3lSe1TUbXbe7tWvVhhfSYC,spotify:track:3lSe1TUbXbe7tWvVhhfSYC,https://api.spotify.com/v1/tracks/3lSe1TUbXbe7tWvVhhfSYC,https://api.spotify.com/v1/audio-analysis/3lSe1TUbXbe7tWvVhhfSYC,206440,4
9,Nyt kiireet pysähtyy,Minun Joululauluni,Anne Mattila,236133,spotify:track:63V9B8qERiZhgH9uAZFq9n,https://api.spotify.com/v1/tracks/63V9B8qERiZhgH9uAZFq9n,0.75,0.631,0,-6.162,1,0.0274,0.145,0.0,0.0451,0.472,120.12,audio_features,63V9B8qERiZhgH9uAZFq9n,spotify:track:63V9B8qERiZhgH9uAZFq9n,https://api.spotify.com/v1/tracks/63V9B8qERiZhgH9uAZFq9n,https://api.spotify.com/v1/audio-analysis/63V9B8qERiZhgH9uAZFq9n,236133,4
