,song_name,album_name,artist_name,duration_ms,uri,href,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Unaccompanied Cello Suite No. 1 in G Major: Prelude,Sacred Cello,Steven Sharp Nelson,163360,spotify:track:49yMnTwiMc9OFcFMKsFNpn,https://api.spotify.com/v1/tracks/49yMnTwiMc9OFcFMKsFNpn,0.177,0.109,7,-18.229,1,0.0527,0.857,0.926,0.0925,0.302,77.761,audio_features,49yMnTwiMc9OFcFMKsFNpn,spotify:track:49yMnTwiMc9OFcFMKsFNpn,https://api.spotify.com/v1/tracks/49yMnTwiMc9OFcFMKsFNpn,https://api.spotify.com/v1/audio-analysis/49yMnTwiMc9OFcFMKsFNpn,163360,3
1,The Water is Wide,Sacred Cello,Steven Sharp Nelson,201666,spotify:track:0teAJ9JhJv2XjTp0sgB214,https://api.spotify.com/v1/tracks/0teAJ9JhJv2XjTp0sgB214,0.147,0.107,0,-17.907,1,0.0378,0.932,0.882,0.0887,0.0726,145.701,audio_features,0teAJ9JhJv2XjTp0sgB214,spotify:track:0teAJ9JhJv2XjTp0sgB214,https://api.spotify.com/v1/tracks/0teAJ9JhJv2XjTp0sgB214,https://api.spotify.com/v1/audio-analysis/0teAJ9JhJv2XjTp0sgB214,201667,3
2,Be Still My Soul,Sacred Cello,Steven Sharp Nelson,163573,spotify:track:4gGPsZbITFlfPXlcXc4XQ6,https://api.spotify.com/v1/tracks/4gGPsZbITFlfPXlcXc4XQ6,0.19,0.128,5,-20.091,1,0.046,0.889,0.979,0.0918,0.0333,74.778,audio_features,4gGPsZbITFlfPXlcXc4XQ6,spotify:track:4gGPsZbITFlfPXlcXc4XQ6,https://api.spotify.com/v1/tracks/4gGPsZbITFlfPXlcXc4XQ6,https://api.spotify.com/v1/audio-analysis/4gGPsZbITFlfPXlcXc4XQ6,163573,4
3,Beautiful Savior,Sacred Cello,Steven Sharp Nelson,277173,spotify:track:7aMdfvblRQQHafZjeSvZog,https://api.spotify.com/v1/tracks/7aMdfvblRQQHafZjeSvZog,0.139,0.166,4,-15.56,1,0.0381,0.977,0.833,0.0982,0.0665,81.026,audio_features,7aMdfvblRQQHafZjeSvZog,spotify:track:7aMdfvblRQQHafZjeSvZog,https://api.spotify.com/v1/tracks/7aMdfvblRQQHafZjeSvZog,https://api.spotify.com/v1/audio-analysis/7aMdfvblRQQHafZjeSvZog,277173,4
4,"Chorale ""O, Savior Thou Who Wearest a Crown""",Grace: A Sacred Cello Collection,Steven Sharp Nelson,149003,spotify:track:2PsFZYSiQIKugmtbiFQCD3,https://api.spotify.com/v1/tracks/2PsFZYSiQIKugmtbiFQCD3,0.0912,0.183,8,-14.989,1,0.0408,0.88,0.852,0.108,0.0772,169.371,audio_features,2PsFZYSiQIKugmtbiFQCD3,spotify:track:2PsFZYSiQIKugmtbiFQCD3,https://api.spotify.com/v1/tracks/2PsFZYSiQIKugmtbiFQCD3,https://api.spotify.com/v1/audio-analysis/2PsFZYSiQIKugmtbiFQCD3,149004,4
5,Rhapsody on a theme of Paganini,Sacred Cello,Steven Sharp Nelson,298373,spotify:track:4fLkbvkb4oNvW8urmJUrRf,https://api.spotify.com/v1/tracks/4fLkbvkb4oNvW8urmJUrRf,0.162,0.0856,2,-19.23,1,0.0397,0.971,0.929,0.113,0.0612,82.19,audio_features,4fLkbvkb4oNvW8urmJUrRf,spotify:track:4fLkbvkb4oNvW8urmJUrRf,https://api.spotify.com/v1/tracks/4fLkbvkb4oNvW8urmJUrRf,https://api.spotify.com/v1/audio-analysis/4fLkbvkb4oNvW8urmJUrRf,298373,4
6,How Can I Keep from Singing?,Sacred Cello,Steven Sharp Nelson,77040,spotify:track:04O0lfo3C57aJNFDXEy7Ub,https://api.spotify.com/v1/tracks/04O0lfo3C57aJNFDXEy7Ub,0.125,0.142,7,-18.228,1,0.0481,0.842,0.955,0.112,0.0718,153.04,audio_features,04O0lfo3C57aJNFDXEy7Ub,spotify:track:04O0lfo3C57aJNFDXEy7Ub,https://api.spotify.com/v1/tracks/04O0lfo3C57aJNFDXEy7Ub,https://api.spotify.com/v1/audio-analysis/04O0lfo3C57aJNFDXEy7Ub,77040,4
7,O My Father,Sacred Cello,Steven Sharp Nelson,247706,spotify:track:1AlbPggOvRuoSCQi9P2mkp,https://api.spotify.com/v1/tracks/1AlbPggOvRuoSCQi9P2mkp,0.146,0.146,7,-18.53,1,0.0355,0.902,0.941,0.102,0.12,80.685,audio_features,1AlbPggOvRuoSCQi9P2mkp,spotify:track:1AlbPggOvRuoSCQi9P2mkp,https://api.spotify.com/v1/tracks/1AlbPggOvRuoSCQi9P2mkp,https://api.spotify.com/v1/audio-analysis/1AlbPggOvRuoSCQi9P2mkp,247707,3
8,God Be With You Till We Meet Again,Sacred Cello,Steven Sharp Nelson,269920,spotify:track:3hqTn8FcE87rkLoHOFodoM,https://api.spotify.com/v1/tracks/3hqTn8FcE87rkLoHOFodoM,0.176,0.21,3,-17.853,1,0.0418,0.929,0.932,0.099,0.0491,84.535,audio_features,3hqTn8FcE87rkLoHOFodoM,spotify:track:3hqTn8FcE87rkLoHOFodoM,https://api.spotify.com/v1/tracks/3hqTn8FcE87rkLoHOFodoM,https://api.spotify.com/v1/audio-analysis/3hqTn8FcE87rkLoHOFodoM,269920,4
9,A Palé,A Palé,ROSALÍA,143773,spotify:track:23zJcKwLf5CeaKVbFhrWgF,https://api.spotify.com/v1/tracks/23zJcKwLf5CeaKVbFhrWgF,0.63,0.409,0,-8.83,0,0.0903,0.119,0.629,0.121,0.332,122.848,audio_features,23zJcKwLf5CeaKVbFhrWgF,spotify:track:23zJcKwLf5CeaKVbFhrWgF,https://api.spotify.com/v1/tracks/23zJcKwLf5CeaKVbFhrWgF,https://api.spotify.com/v1/audio-analysis/23zJcKwLf5CeaKVbFhrWgF,143773,4
10,First Contact,Dragon,Two Steps from Hell,248546,spotify:track:0q0Cq6f1cvW8YweUTYKSCq,https://api.spotify.com/v1/tracks/0q0Cq6f1cvW8YweUTYKSCq,0.193,0.747,10,-8.339,1,0.0598,0.304,0.948,0.109,0.0561,172.076,audio_features,0q0Cq6f1cvW8YweUTYKSCq,spotify:track:0q0Cq6f1cvW8YweUTYKSCq,https://api.spotify.com/v1/tracks/0q0Cq6f1cvW8YweUTYKSCq,https://api.spotify.com/v1/audio-analysis/0q0Cq6f1cvW8YweUTYKSCq,248547,4
11,Bravestone,Dragon,Two Steps from Hell,197747,spotify:track:1GMfOx8IyUnQz4SX1Mhqlo,https://api.spotify.com/v1/tracks/1GMfOx8IyUnQz4SX1Mhqlo,0.347,0.82,2,-6.251,0,0.0563,0.00884,0.916,0.118,0.114,104.933,audio_features,1GMfOx8IyUnQz4SX1Mhqlo,spotify:track:1GMfOx8IyUnQz4SX1Mhqlo,https://api.spotify.com/v1/tracks/1GMfOx8IyUnQz4SX1Mhqlo,https://api.spotify.com/v1/audio-analysis/1GMfOx8IyUnQz4SX1Mhqlo,197748,3
12,Emerald Princess,Dragon,Two Steps from Hell,661780,spotify:track:3Lsxzkhu8U9hTApMjTrCzm,https://api.spotify.com/v1/tracks/3Lsxzkhu8U9hTApMjTrCzm,0.385,0.8,3,-6.074,1,0.061,0.00681,0.131,0.0443,0.0903,128.04,audio_features,3Lsxzkhu8U9hTApMjTrCzm,spotify:track:3Lsxzkhu8U9hTApMjTrCzm,https://api.spotify.com/v1/tracks/3Lsxzkhu8U9hTApMjTrCzm,https://api.spotify.com/v1/audio-analysis/3Lsxzkhu8U9hTApMjTrCzm,661781,4
13,At The Wall,Dragon,Two Steps from Hell,241417,spotify:track:0zl4jKCvhi2ANcUKGoTfaL,https://api.spotify.com/v1/tracks/0zl4jKCvhi2ANcUKGoTfaL,0.463,0.442,2,-9.968,0,0.0381,0.436,0.894,0.165,0.0715,125.029,audio_features,0zl4jKCvhi2ANcUKGoTfaL,spotify:track:0zl4jKCvhi2ANcUKGoTfaL,https://api.spotify.com/v1/tracks/0zl4jKCvhi2ANcUKGoTfaL,https://api.spotify.com/v1/audio-analysis/0zl4jKCvhi2ANcUKGoTfaL,241418,4
14,Race to Durango,Dragon,Two Steps from Hell,245764,spotify:track:7EvkzDRYiShZsY0Gt8JrJv,https://api.spotify.com/v1/tracks/7EvkzDRYiShZsY0Gt8JrJv,0.458,0.634,2,-7.335,1,0.0356,0.146,0.915,0.0484,0.444,117.002,audio_features,7EvkzDRYiShZsY0Gt8JrJv,spotify:track:7EvkzDRYiShZsY0Gt8JrJv,https://api.spotify.com/v1/tracks/7EvkzDRYiShZsY0Gt8JrJv,https://api.spotify.com/v1/audio-analysis/7EvkzDRYiShZsY0Gt8JrJv,245764,4
15,Dragonwing,Dragon,Two Steps from Hell,177313,spotify:track:6r8PrHHFM1dQ9UD8UAp6lK,https://api.spotify.com/v1/tracks/6r8PrHHFM1dQ9UD8UAp6lK,0.284,0.938,5,-5.227,1,0.173,0.00527,0.951,0.111,0.194,180.087,audio_features,6r8PrHHFM1dQ9UD8UAp6lK,spotify:track:6r8PrHHFM1dQ9UD8UAp6lK,https://api.spotify.com/v1/tracks/6r8PrHHFM1dQ9UD8UAp6lK,https://api.spotify.com/v1/audio-analysis/6r8PrHHFM1dQ9UD8UAp6lK,177314,3
