,song_name,album_name,artist_name,duration_ms,uri,href,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,0
10,"Quatuor avec piano No. 2 in A Major, Op. 26: I. Allegro non troppo","Brahms: Musique de chambre - La discothèque idéale de Diapason, Vol. 6",Johannes Brahms,737026,spotify:track:7x5W6vioUH7atjW2S49Ree,https://api.spotify.com/v1/tracks/7x5W6vioUH7atjW2S49Ree,0.338,0.271,9.0,-11.315,1.0,0.0387,0.984,0.613,0.134,0.25,91.167,audio_features,7x5W6vioUH7atjW2S49Ree,spotify:track:7x5W6vioUH7atjW2S49Ree,https://api.spotify.com/v1/tracks/7x5W6vioUH7atjW2S49Ree,https://api.spotify.com/v1/audio-analysis/7x5W6vioUH7atjW2S49Ree,737027.0,3.0,
11,How Insensitive,My Foolish Heart,Liz Story,212293,spotify:track:39WvMPnIn6ivu4Fc8Es9oq,https://api.spotify.com/v1/tracks/39WvMPnIn6ivu4Fc8Es9oq,0.569,0.124,7.0,-23.157,0.0,0.0585,0.99,0.886,0.111,0.127,119.331,audio_features,39WvMPnIn6ivu4Fc8Es9oq,spotify:track:39WvMPnIn6ivu4Fc8Es9oq,https://api.spotify.com/v1/tracks/39WvMPnIn6ivu4Fc8Es9oq,https://api.spotify.com/v1/audio-analysis/39WvMPnIn6ivu4Fc8Es9oq,212293.0,4.0,
12,Rock in a Hard Place,Halo: Combat Evolved Anniversary (Original Soundtrack),Brian Trifon,79213,spotify:track:1RvcS4PS2INOgeeKIqyIuv,https://api.spotify.com/v1/tracks/1RvcS4PS2INOgeeKIqyIuv,0.413,0.993,6.0,-5.634,0.0,0.263,0.0303,0.668,0.173,0.0358,187.541,audio_features,1RvcS4PS2INOgeeKIqyIuv,spotify:track:1RvcS4PS2INOgeeKIqyIuv,https://api.spotify.com/v1/tracks/1RvcS4PS2INOgeeKIqyIuv,https://api.spotify.com/v1/audio-analysis/1RvcS4PS2INOgeeKIqyIuv,79213.0,3.0,
13,Medley: Moondance / My Funny Valentine - Live,A Night In San Francisco (Live),Van Morrison,550133,spotify:track:2uG4Sv1mD5Rk14vEr2p530,https://api.spotify.com/v1/tracks/2uG4Sv1mD5Rk14vEr2p530,0.338,0.814,7.0,-7.798,0.0,0.0814,0.397,4.66e-05,0.979,0.578,92.503,audio_features,2uG4Sv1mD5Rk14vEr2p530,spotify:track:2uG4Sv1mD5Rk14vEr2p530,https://api.spotify.com/v1/tracks/2uG4Sv1mD5Rk14vEr2p530,https://api.spotify.com/v1/audio-analysis/2uG4Sv1mD5Rk14vEr2p530,550133.0,4.0,
14,"Canon and gigue, for 3 violins & continuo in D major, T. 337 - Canon in D",Meditation: The Greatest Hits 2-Cd Set,Royal Philharmonic Orchestra,288866,spotify:track:1E2dhtEgMeSMJERlijJnRh,https://api.spotify.com/v1/tracks/1E2dhtEgMeSMJERlijJnRh,0.207,0.158,1.0,-18.006,1.0,0.0355,0.85,0.508,0.184,0.195,99.786,audio_features,1E2dhtEgMeSMJERlijJnRh,spotify:track:1E2dhtEgMeSMJERlijJnRh,https://api.spotify.com/v1/tracks/1E2dhtEgMeSMJERlijJnRh,https://api.spotify.com/v1/audio-analysis/1E2dhtEgMeSMJERlijJnRh,288867.0,4.0,
15,What I Learned From Loving You,Tammy Cochran,Tammy Cochran,227066,spotify:track:1Oishxtjz0GEc9qvrq3Fc3,https://api.spotify.com/v1/tracks/1Oishxtjz0GEc9qvrq3Fc3,0.449,0.28,9.0,-10.141,1.0,0.028,0.69,0.0,0.337,0.14,71.862,audio_features,1Oishxtjz0GEc9qvrq3Fc3,spotify:track:1Oishxtjz0GEc9qvrq3Fc3,https://api.spotify.com/v1/tracks/1Oishxtjz0GEc9qvrq3Fc3,https://api.spotify.com/v1/audio-analysis/1Oishxtjz0GEc9qvrq3Fc3,227067.0,4.0,
16,Are You Lost in Sin,Gospel Time - HH-1365,Big Country Bluegrass,184920,spotify:track:5wjyALZ6Mmo0oDvLzZpJfd,https://api.spotify.com/v1/tracks/5wjyALZ6Mmo0oDvLzZpJfd,0.652,0.56,0.0,-8.682,1.0,0.0306,0.486,0.000951,0.291,0.872,126.667,audio_features,5wjyALZ6Mmo0oDvLzZpJfd,spotify:track:5wjyALZ6Mmo0oDvLzZpJfd,https://api.spotify.com/v1/tracks/5wjyALZ6Mmo0oDvLzZpJfd,https://api.spotify.com/v1/audio-analysis/5wjyALZ6Mmo0oDvLzZpJfd,184920.0,4.0,
17,Derminal Tusk,Crimson,Enduser,342533,spotify:track:4sTRTYwa3fc4W13xcdVxaH,https://api.spotify.com/v1/tracks/4sTRTYwa3fc4W13xcdVxaH,0.542,0.759,2.0,-7.644,1.0,0.0614,0.0234,0.874,0.102,0.146,173.079,audio_features,4sTRTYwa3fc4W13xcdVxaH,spotify:track:4sTRTYwa3fc4W13xcdVxaH,https://api.spotify.com/v1/tracks/4sTRTYwa3fc4W13xcdVxaH,https://api.spotify.com/v1/audio-analysis/4sTRTYwa3fc4W13xcdVxaH,342533.0,4.0,
18,"Light, Raking",Siberia,Polvo,271466,spotify:track:3UdsnasYitCkSwtQvbOl90,https://api.spotify.com/v1/tracks/3UdsnasYitCkSwtQvbOl90,0.404,0.753,6.0,-7.671,0.0,0.0376,0.00034,0.0617,0.337,0.324,121.715,audio_features,3UdsnasYitCkSwtQvbOl90,spotify:track:3UdsnasYitCkSwtQvbOl90,https://api.spotify.com/v1/tracks/3UdsnasYitCkSwtQvbOl90,https://api.spotify.com/v1/audio-analysis/3UdsnasYitCkSwtQvbOl90,271467.0,4.0,
19,"5 German Dances, D.89 (D.90) - Arranged For 7 Trios And 1 Coda For String Quartett: 1. Deutscher Tanz - Trio I - Trio II In C Major",Cosy Fireplace with Schubert,Franz Schubert,208826,spotify:track:5ctIAL9CHv8CoQj8iA9vwn,https://api.spotify.com/v1/tracks/5ctIAL9CHv8CoQj8iA9vwn,0.375,0.0441,0.0,-26.694,1.0,0.0463,0.887,0.607,0.24,0.181,134.366,audio_features,5ctIAL9CHv8CoQj8iA9vwn,spotify:track:5ctIAL9CHv8CoQj8iA9vwn,https://api.spotify.com/v1/tracks/5ctIAL9CHv8CoQj8iA9vwn,https://api.spotify.com/v1/audio-analysis/5ctIAL9CHv8CoQj8iA9vwn,208827.0,3.0,
20,Bangkok Downtown,War (Original Motion Picture Soundtrack),Brian Tyler,138000,spotify:track:74M7RgdENn9G2t0qkbSkn6,https://api.spotify.com/v1/tracks/74M7RgdENn9G2t0qkbSkn6,0.718,0.746,11.0,-10.14,1.0,0.143,0.0233,0.87,0.1,0.948,159.987,audio_features,74M7RgdENn9G2t0qkbSkn6,spotify:track:74M7RgdENn9G2t0qkbSkn6,https://api.spotify.com/v1/tracks/74M7RgdENn9G2t0qkbSkn6,https://api.spotify.com/v1/audio-analysis/74M7RgdENn9G2t0qkbSkn6,138000.0,4.0,
21,Looks Like I'm in Trouble Again,The Melody,Deke Dickerson,162040,spotify:track:6vpyiXAdxvFbTf5VETV32t,https://api.spotify.com/v1/tracks/6vpyiXAdxvFbTf5VETV32t,0.637,0.687,7.0,-8.188,1.0,0.0389,0.432,2.4e-06,0.0471,0.79,83.709,audio_features,6vpyiXAdxvFbTf5VETV32t,spotify:track:6vpyiXAdxvFbTf5VETV32t,https://api.spotify.com/v1/tracks/6vpyiXAdxvFbTf5VETV32t,https://api.spotify.com/v1/audio-analysis/6vpyiXAdxvFbTf5VETV32t,162040.0,4.0,
22,Beautiful Crazy - Acoustic,Beautiful Crazy (Acoustic),Luke Combs,193234,spotify:track:5v05DdK7dCqmImUj4PLxOE,https://api.spotify.com/v1/tracks/5v05DdK7dCqmImUj4PLxOE,0.45,0.262,11.0,-10.423,1.0,0.033,0.851,0.0,0.102,0.488,102.656,audio_features,5v05DdK7dCqmImUj4PLxOE,spotify:track:5v05DdK7dCqmImUj4PLxOE,https://api.spotify.com/v1/tracks/5v05DdK7dCqmImUj4PLxOE,https://api.spotify.com/v1/audio-analysis/5v05DdK7dCqmImUj4PLxOE,193234.0,4.0,
23,"La passione di Gesu Cristo: Part II: Recitative: Ed insepolto ancora e l'estinto Signor? (Pietro, Giuseppe, Maddalene, Giovanni)",Paisiello: Passione Di Gesu Cristo (La),Giovanni Paisiello,64626,spotify:track:1vSupFr09wuGzWA9BrZr1i,https://api.spotify.com/v1/tracks/1vSupFr09wuGzWA9BrZr1i,0.601,0.0893,7.0,-18.15,1.0,0.0702,0.979,0.0,0.365,0.33,78.586,audio_features,1vSupFr09wuGzWA9BrZr1i,spotify:track:1vSupFr09wuGzWA9BrZr1i,https://api.spotify.com/v1/tracks/1vSupFr09wuGzWA9BrZr1i,https://api.spotify.com/v1/audio-analysis/1vSupFr09wuGzWA9BrZr1i,64627.0,4.0,
24,No One Really Wins (Acoustic Version),In Motion,Copeland,220013,spotify:track:0DDbGZM7RpbpVaxqZafAhp,https://api.spotify.com/v1/tracks/0DDbGZM7RpbpVaxqZafAhp,0.52,0.373,1.0,-9.361,1.0,0.03,0.867,0.0,0.095,0.43,118.018,audio_features,0DDbGZM7RpbpVaxqZafAhp,spotify:track:0DDbGZM7RpbpVaxqZafAhp,https://api.spotify.com/v1/tracks/0DDbGZM7RpbpVaxqZafAhp,https://api.spotify.com/v1/audio-analysis/0DDbGZM7RpbpVaxqZafAhp,220013.0,4.0,
25,Ruthless - Remastered,Return to Grimpen Ward (Remastered),Mentallo & The Fixer,263226,spotify:track:1u3vvRiD1laPJlQq2GgNS9,https://api.spotify.com/v1/tracks/1u3vvRiD1laPJlQq2GgNS9,0.773,0.686,1.0,-14.106,1.0,0.0523,0.0172,0.627,0.0933,0.232,110.42,audio_features,1u3vvRiD1laPJlQq2GgNS9,spotify:track:1u3vvRiD1laPJlQq2GgNS9,https://api.spotify.com/v1/tracks/1u3vvRiD1laPJlQq2GgNS9,https://api.spotify.com/v1/audio-analysis/1u3vvRiD1laPJlQq2GgNS9,263227.0,4.0,
26,"Coppélia : Act III, No. 20 Féte de la cloche - Divertissement 9, Galop final, Moderato - Allegro vivo",88 Holiday Classical Christmas: Nutcracker and the Great Ballets Highlights,Léo Delibes,177226,spotify:track:5Cad8zxBkNKyXeffYXyKp9,https://api.spotify.com/v1/tracks/5Cad8zxBkNKyXeffYXyKp9,0.389,0.511,3.0,-7.394,1.0,0.0353,0.91,0.807,0.147,0.532,151.261,audio_features,5Cad8zxBkNKyXeffYXyKp9,spotify:track:5Cad8zxBkNKyXeffYXyKp9,https://api.spotify.com/v1/tracks/5Cad8zxBkNKyXeffYXyKp9,https://api.spotify.com/v1/audio-analysis/5Cad8zxBkNKyXeffYXyKp9,177227.0,4.0,
27,"Her Daddy Was a Dalek, Her Mummy Was a Non Stick Frying Pan",The Joy of More Hogwash,Martin Gordon,186386,spotify:track:49yuA7KWqTlj0JtQjyES0K,https://api.spotify.com/v1/tracks/49yuA7KWqTlj0JtQjyES0K,0.538,0.905,5.0,-5.403,1.0,0.0426,0.0103,1.15e-05,0.885,0.442,123.937,audio_features,49yuA7KWqTlj0JtQjyES0K,spotify:track:49yuA7KWqTlj0JtQjyES0K,https://api.spotify.com/v1/tracks/49yuA7KWqTlj0JtQjyES0K,https://api.spotify.com/v1/audio-analysis/49yuA7KWqTlj0JtQjyES0K,186387.0,4.0,
28,How Your Love Makes Me Feel (Live),Live,Diamond Rio,255186,spotify:track:4rY9Xjg0KdpALjIDA9GNSl,https://api.spotify.com/v1/tracks/4rY9Xjg0KdpALjIDA9GNSl,0.468,0.926,9.0,-7.485,1.0,0.0803,0.337,0.0,0.959,0.491,143.918,audio_features,4rY9Xjg0KdpALjIDA9GNSl,spotify:track:4rY9Xjg0KdpALjIDA9GNSl,https://api.spotify.com/v1/tracks/4rY9Xjg0KdpALjIDA9GNSl,https://api.spotify.com/v1/audio-analysis/4rY9Xjg0KdpALjIDA9GNSl,255187.0,4.0,
29,"The Judgment of Paris: Symphony for Venus: Hither turn thee, garde Swain (Venus)","Eccles, J.: Judgment of Paris (The) [Opera] / 3 Mad Songs",John Eccles,247000,spotify:track:1dznooGpk7iqAEkqZ7LGrT,https://api.spotify.com/v1/tracks/1dznooGpk7iqAEkqZ7LGrT,0.157,0.0181,7.0,-25.199,0.0,0.0558,0.967,0.000315,0.109,0.0812,79.745,audio_features,1dznooGpk7iqAEkqZ7LGrT,spotify:track:1dznooGpk7iqAEkqZ7LGrT,https://api.spotify.com/v1/tracks/1dznooGpk7iqAEkqZ7LGrT,https://api.spotify.com/v1/audio-analysis/1dznooGpk7iqAEkqZ7LGrT,247000.0,4.0,
30,And My Father Left Forever,And My Father Left Forever,My Dying Bride,562080,spotify:track:2Y4pwcvvi6D7o5ECoo7OLg,https://api.spotify.com/v1/tracks/2Y4pwcvvi6D7o5ECoo7OLg,0.397,0.661,1.0,-10.628,0.0,0.0354,0.000201,0.0346,0.236,0.209,139.488,audio_features,2Y4pwcvvi6D7o5ECoo7OLg,spotify:track:2Y4pwcvvi6D7o5ECoo7OLg,https://api.spotify.com/v1/tracks/2Y4pwcvvi6D7o5ECoo7OLg,https://api.spotify.com/v1/audio-analysis/2Y4pwcvvi6D7o5ECoo7OLg,562080.0,4.0,
31,Verse Killa,A Jon Begins Mixtape,AJon,243613,spotify:track:2VUYMVZOmpl1OLVFS3SfUJ,https://api.spotify.com/v1/tracks/2VUYMVZOmpl1OLVFS3SfUJ,0.412,0.599,2.0,-13.141,1.0,0.458,0.0159,0.0,0.0951,0.471,168.731,audio_features,2VUYMVZOmpl1OLVFS3SfUJ,spotify:track:2VUYMVZOmpl1OLVFS3SfUJ,https://api.spotify.com/v1/tracks/2VUYMVZOmpl1OLVFS3SfUJ,https://api.spotify.com/v1/audio-analysis/2VUYMVZOmpl1OLVFS3SfUJ,243613.0,4.0,
32,Collie Herb,In The Light,Horace Andy,256546,spotify:track:3t7pymAwviZ4jNjqdUTE4p,https://api.spotify.com/v1/tracks/3t7pymAwviZ4jNjqdUTE4p,0.717,0.777,1.0,-8.623,1.0,0.108,0.0257,1.18e-05,0.132,0.861,142.749,audio_features,3t7pymAwviZ4jNjqdUTE4p,spotify:track:3t7pymAwviZ4jNjqdUTE4p,https://api.spotify.com/v1/tracks/3t7pymAwviZ4jNjqdUTE4p,https://api.spotify.com/v1/audio-analysis/3t7pymAwviZ4jNjqdUTE4p,256547.0,4.0,
