,song_name,album_name,artist_name,duration_ms,uri,href,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Je suis fait pour l'amour,Septieme ciel,Marc Lavoine,243773,spotify:track:3M7sydyWLTEKRamvGBBoKB,https://api.spotify.com/v1/tracks/3M7sydyWLTEKRamvGBBoKB,0.607,0.484,11,-8.831,0,0.0288,0.0953,0.00609,0.0897,0.639,84.014,audio_features,3M7sydyWLTEKRamvGBBoKB,spotify:track:3M7sydyWLTEKRamvGBBoKB,https://api.spotify.com/v1/tracks/3M7sydyWLTEKRamvGBBoKB,https://api.spotify.com/v1/audio-analysis/3M7sydyWLTEKRamvGBBoKB,243773,4
1,Elle déserte,Septieme ciel,Marc Lavoine,245413,spotify:track:12oMrLtOpXpKpHAfDlw2dv,https://api.spotify.com/v1/tracks/12oMrLtOpXpKpHAfDlw2dv,0.475,0.662,4,-9.49,0,0.0401,0.401,0.000791,0.0927,0.712,112.007,audio_features,12oMrLtOpXpKpHAfDlw2dv,spotify:track:12oMrLtOpXpKpHAfDlw2dv,https://api.spotify.com/v1/tracks/12oMrLtOpXpKpHAfDlw2dv,https://api.spotify.com/v1/audio-analysis/12oMrLtOpXpKpHAfDlw2dv,245413,5
2,Je dirai que j'ai rêvé,Septieme ciel,Marc Lavoine,219106,spotify:track:1NJkcViJVW5cU0bcX4LpaY,https://api.spotify.com/v1/tracks/1NJkcViJVW5cU0bcX4LpaY,0.653,0.793,4,-7.794,0,0.0339,0.000351,3.55e-05,0.224,0.808,116.014,audio_features,1NJkcViJVW5cU0bcX4LpaY,spotify:track:1NJkcViJVW5cU0bcX4LpaY,https://api.spotify.com/v1/tracks/1NJkcViJVW5cU0bcX4LpaY,https://api.spotify.com/v1/audio-analysis/1NJkcViJVW5cU0bcX4LpaY,219107,4
3,Le bonheur de perdre du temps,Septieme ciel,Marc Lavoine,257959,spotify:track:7wSjKSAKUh7smjIkA8CrKP,https://api.spotify.com/v1/tracks/7wSjKSAKUh7smjIkA8CrKP,0.623,0.486,9,-10.238,1,0.024,0.411,0.00129,0.117,0.506,100.033,audio_features,7wSjKSAKUh7smjIkA8CrKP,spotify:track:7wSjKSAKUh7smjIkA8CrKP,https://api.spotify.com/v1/tracks/7wSjKSAKUh7smjIkA8CrKP,https://api.spotify.com/v1/audio-analysis/7wSjKSAKUh7smjIkA8CrKP,257960,4
4,Denn heut schenk ich dir rote Rosen,Liebe ist eine Rose,Die Flippers,181600,spotify:track:60XMYGKKFtUBOg4Jw5HRvA,https://api.spotify.com/v1/tracks/60XMYGKKFtUBOg4Jw5HRvA,0.587,0.706,2,-8.654,1,0.0321,0.389,6.94e-06,0.293,0.667,108.974,audio_features,60XMYGKKFtUBOg4Jw5HRvA,spotify:track:60XMYGKKFtUBOg4Jw5HRvA,https://api.spotify.com/v1/tracks/60XMYGKKFtUBOg4Jw5HRvA,https://api.spotify.com/v1/audio-analysis/60XMYGKKFtUBOg4Jw5HRvA,181600,4
5,Im heißen Sand von Rhodos,Sommer der Erinnerungen,Die Flippers,200453,spotify:track:1gULI8q9ccIwIRTBCSpsXB,https://api.spotify.com/v1/tracks/1gULI8q9ccIwIRTBCSpsXB,0.538,0.731,0,-8.469,1,0.03,0.193,0.0,0.127,0.773,96.148,audio_features,1gULI8q9ccIwIRTBCSpsXB,spotify:track:1gULI8q9ccIwIRTBCSpsXB,https://api.spotify.com/v1/tracks/1gULI8q9ccIwIRTBCSpsXB,https://api.spotify.com/v1/audio-analysis/1gULI8q9ccIwIRTBCSpsXB,200453,4
6,Schenk mir ein paar Worte,Liebe ist eine Rose,Die Flippers,229440,spotify:track:5peGEg4RmvJfUlR9CccJgd,https://api.spotify.com/v1/tracks/5peGEg4RmvJfUlR9CccJgd,0.52,0.731,2,-9.004,1,0.034,0.0756,0.0,0.507,0.66,130.952,audio_features,5peGEg4RmvJfUlR9CccJgd,spotify:track:5peGEg4RmvJfUlR9CccJgd,https://api.spotify.com/v1/tracks/5peGEg4RmvJfUlR9CccJgd,https://api.spotify.com/v1/audio-analysis/5peGEg4RmvJfUlR9CccJgd,229440,4
7,Ich hab heut ein Rendezvous mit Deinem Herzen,Liebe ist eine Rose,Die Flippers,202066,spotify:track:2q6zNoAZE4DnuByeeNrrDf,https://api.spotify.com/v1/tracks/2q6zNoAZE4DnuByeeNrrDf,0.587,0.83,4,-8.654,1,0.034,0.0696,8.88e-06,0.431,0.887,125.991,audio_features,2q6zNoAZE4DnuByeeNrrDf,spotify:track:2q6zNoAZE4DnuByeeNrrDf,https://api.spotify.com/v1/tracks/2q6zNoAZE4DnuByeeNrrDf,https://api.spotify.com/v1/audio-analysis/2q6zNoAZE4DnuByeeNrrDf,202067,4
8,Zwei Herzen suchen Liebe,Liebe ist eine Rose,Die Flippers,207866,spotify:track:2W9EnvO1tVyW0kgpKATxr7,https://api.spotify.com/v1/tracks/2W9EnvO1tVyW0kgpKATxr7,0.534,0.644,8,-9.895,1,0.034,0.257,3.24e-06,0.339,0.714,120.017,audio_features,2W9EnvO1tVyW0kgpKATxr7,spotify:track:2W9EnvO1tVyW0kgpKATxr7,https://api.spotify.com/v1/tracks/2W9EnvO1tVyW0kgpKATxr7,https://api.spotify.com/v1/audio-analysis/2W9EnvO1tVyW0kgpKATxr7,207867,4
9,Liebe ist eine Rose,Nur das Beste,Die Flippers,232560,spotify:track:5UiN9GQO75UrjcpPVR8m51,https://api.spotify.com/v1/tracks/5UiN9GQO75UrjcpPVR8m51,0.479,0.863,10,-5.026,1,0.0391,0.0318,4.59e-06,0.334,0.588,108.511,audio_features,5UiN9GQO75UrjcpPVR8m51,spotify:track:5UiN9GQO75UrjcpPVR8m51,https://api.spotify.com/v1/tracks/5UiN9GQO75UrjcpPVR8m51,https://api.spotify.com/v1/audio-analysis/5UiN9GQO75UrjcpPVR8m51,232560,4
10,Mädchen von Capri,Nur das Beste,Die Flippers,204386,spotify:track:17Qiuaad0ili1DQ5KnsBod,https://api.spotify.com/v1/tracks/17Qiuaad0ili1DQ5KnsBod,0.566,0.859,4,-6.197,1,0.0437,0.094,0.0,0.316,0.714,122.224,audio_features,17Qiuaad0ili1DQ5KnsBod,spotify:track:17Qiuaad0ili1DQ5KnsBod,https://api.spotify.com/v1/tracks/17Qiuaad0ili1DQ5KnsBod,https://api.spotify.com/v1/audio-analysis/17Qiuaad0ili1DQ5KnsBod,204057,4
11,Roter Mond von El Dorado,Liebe ist eine Rose,Die Flippers,198306,spotify:track:1pIT77wJdeNSlD3EMfN9Q7,https://api.spotify.com/v1/tracks/1pIT77wJdeNSlD3EMfN9Q7,0.553,0.798,7,-8.35,1,0.0333,0.2,0.00195,0.508,0.682,120.23,audio_features,1pIT77wJdeNSlD3EMfN9Q7,spotify:track:1pIT77wJdeNSlD3EMfN9Q7,https://api.spotify.com/v1/tracks/1pIT77wJdeNSlD3EMfN9Q7,https://api.spotify.com/v1/audio-analysis/1pIT77wJdeNSlD3EMfN9Q7,198307,4
12,Sie geht den Weg der Einsamkeit,Liebe ist eine Rose,Die Flippers,209893,spotify:track:5tFx97BdnSscWKWIyRKcAC,https://api.spotify.com/v1/tracks/5tFx97BdnSscWKWIyRKcAC,0.614,0.745,0,-9.415,1,0.03,0.154,0.0,0.328,0.9,129.974,audio_features,5tFx97BdnSscWKWIyRKcAC,spotify:track:5tFx97BdnSscWKWIyRKcAC,https://api.spotify.com/v1/tracks/5tFx97BdnSscWKWIyRKcAC,https://api.spotify.com/v1/audio-analysis/5tFx97BdnSscWKWIyRKcAC,209893,4
13,Wenn in San Remo die roten Rosen blühn - Live,Für immer im Herzen - Das Abschiedskonzert,Die Flippers,96866,spotify:track:70UDxjK4NpKRM1HDoYhpCW,https://api.spotify.com/v1/tracks/70UDxjK4NpKRM1HDoYhpCW,0.485,0.93,2,-4.897,1,0.0638,0.104,5.89e-06,0.734,0.426,127.067,audio_features,70UDxjK4NpKRM1HDoYhpCW,spotify:track:70UDxjK4NpKRM1HDoYhpCW,https://api.spotify.com/v1/tracks/70UDxjK4NpKRM1HDoYhpCW,https://api.spotify.com/v1/audio-analysis/70UDxjK4NpKRM1HDoYhpCW,96867,4
14,Wearing White,Life Is Suffering,Into It. Over It.,103140,spotify:track:1PxwRrZ0z8cBPO3jD00iUn,https://api.spotify.com/v1/tracks/1PxwRrZ0z8cBPO3jD00iUn,0.651,0.282,10,-11.623,1,0.0758,0.0599,0.231,0.11,0.499,136.978,audio_features,1PxwRrZ0z8cBPO3jD00iUn,spotify:track:1PxwRrZ0z8cBPO3jD00iUn,https://api.spotify.com/v1/tracks/1PxwRrZ0z8cBPO3jD00iUn,https://api.spotify.com/v1/audio-analysis/1PxwRrZ0z8cBPO3jD00iUn,103141,5
15,The Midnight Oil,Super Hits,Barbara Mandrell,160693,spotify:track:2DjWwfXYH5CnuXPUU0qU30,https://api.spotify.com/v1/tracks/2DjWwfXYH5CnuXPUU0qU30,0.545,0.41,6,-10.954,1,0.0241,0.737,4.29e-06,0.103,0.433,82.441,audio_features,2DjWwfXYH5CnuXPUU0qU30,spotify:track:2DjWwfXYH5CnuXPUU0qU30,https://api.spotify.com/v1/tracks/2DjWwfXYH5CnuXPUU0qU30,https://api.spotify.com/v1/audio-analysis/2DjWwfXYH5CnuXPUU0qU30,160693,4
16,Treat Him Right,Country Masters: Just A Pickin,Barbara Mandrell,131666,spotify:track:2mUXpmpd1iETVT65W2vf4x,https://api.spotify.com/v1/tracks/2mUXpmpd1iETVT65W2vf4x,0.46,0.512,3,-14.499,1,0.0381,0.781,0.00594,0.117,0.789,87.206,audio_features,2mUXpmpd1iETVT65W2vf4x,spotify:track:2mUXpmpd1iETVT65W2vf4x,https://api.spotify.com/v1/tracks/2mUXpmpd1iETVT65W2vf4x,https://api.spotify.com/v1/audio-analysis/2mUXpmpd1iETVT65W2vf4x,131667,4
17,Tonight My Baby's Coming Home,The Midnight Oil (Expanded Edition),Barbara Mandrell,124573,spotify:track:7cgZEXNijuXtNiC1qpZe35,https://api.spotify.com/v1/tracks/7cgZEXNijuXtNiC1qpZe35,0.589,0.535,11,-12.398,1,0.0356,0.379,0.0,0.257,0.896,108.416,audio_features,7cgZEXNijuXtNiC1qpZe35,spotify:track:7cgZEXNijuXtNiC1qpZe35,https://api.spotify.com/v1/tracks/7cgZEXNijuXtNiC1qpZe35,https://api.spotify.com/v1/audio-analysis/7cgZEXNijuXtNiC1qpZe35,124573,4
