,song_name,album_name,artist_name,duration_ms,uri,href,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,South Texas Deathride - Live Ozzfest '01,Ozzfest 2001 The Second Millennium,The Union Underground,217293,spotify:track:3PvfB8ZgBneH4SnPqElFyY,https://api.spotify.com/v1/tracks/3PvfB8ZgBneH4SnPqElFyY,0.504,0.971,4,-6.441,1,0.0847,0.000164,0.00627,0.963,0.283,90.569,audio_features,3PvfB8ZgBneH4SnPqElFyY,spotify:track:3PvfB8ZgBneH4SnPqElFyY,https://api.spotify.com/v1/tracks/3PvfB8ZgBneH4SnPqElFyY,https://api.spotify.com/v1/audio-analysis/3PvfB8ZgBneH4SnPqElFyY,217293,4
1,Fillthee - Live / 2012,Sounds Like Armageddon (Live / 2012),Otep,229373,spotify:track:1sPbvBnE4eMuD9IjmJj2hf,https://api.spotify.com/v1/tracks/1sPbvBnE4eMuD9IjmJj2hf,0.33,0.985,10,-4.975,0,0.24,0.000668,0.768,0.175,0.0819,120.666,audio_features,1sPbvBnE4eMuD9IjmJj2hf,spotify:track:1sPbvBnE4eMuD9IjmJj2hf,https://api.spotify.com/v1/tracks/1sPbvBnE4eMuD9IjmJj2hf,https://api.spotify.com/v1/audio-analysis/1sPbvBnE4eMuD9IjmJj2hf,229373,4
2,The Safest Place,Twisted Angel,LeAnn Rimes,232760,spotify:track:7LKTHDH18Zy5wZVzQihZ7X,https://api.spotify.com/v1/tracks/7LKTHDH18Zy5wZVzQihZ7X,0.458,0.691,5,-4.453,0,0.0341,0.325,0.0,0.125,0.284,139.773,audio_features,7LKTHDH18Zy5wZVzQihZ7X,spotify:track:7LKTHDH18Zy5wZVzQihZ7X,https://api.spotify.com/v1/tracks/7LKTHDH18Zy5wZVzQihZ7X,https://api.spotify.com/v1/audio-analysis/7LKTHDH18Zy5wZVzQihZ7X,232760,4
3,Trouble With Goodbye,Twisted Angel,LeAnn Rimes,202133,spotify:track:49XfLdhAZFNJg4RW1419Sj,https://api.spotify.com/v1/tracks/49XfLdhAZFNJg4RW1419Sj,0.712,0.789,11,-4.073,0,0.0572,0.0233,0.000656,0.47,0.764,106.019,audio_features,49XfLdhAZFNJg4RW1419Sj,spotify:track:49XfLdhAZFNJg4RW1419Sj,https://api.spotify.com/v1/tracks/49XfLdhAZFNJg4RW1419Sj,https://api.spotify.com/v1/audio-analysis/49XfLdhAZFNJg4RW1419Sj,202133,4
4,Review My Kisses,Twisted Angel,LeAnn Rimes,331066,spotify:track:38ziKCMk9rinPgY5S584PD,https://api.spotify.com/v1/tracks/38ziKCMk9rinPgY5S584PD,0.233,0.606,10,-6.22,0,0.0425,0.686,0.0,0.106,0.209,173.096,audio_features,38ziKCMk9rinPgY5S584PD,spotify:track:38ziKCMk9rinPgY5S584PD,https://api.spotify.com/v1/tracks/38ziKCMk9rinPgY5S584PD,https://api.spotify.com/v1/audio-analysis/38ziKCMk9rinPgY5S584PD,331067,4
5,Love Is An Army,Twisted Angel,LeAnn Rimes,241293,spotify:track:1yZGylfVLuHDFJFeYwcmcW,https://api.spotify.com/v1/tracks/1yZGylfVLuHDFJFeYwcmcW,0.425,0.238,8,-8.936,1,0.0354,0.831,0.0,0.133,0.22,72.989,audio_features,1yZGylfVLuHDFJFeYwcmcW,spotify:track:1yZGylfVLuHDFJFeYwcmcW,https://api.spotify.com/v1/tracks/1yZGylfVLuHDFJFeYwcmcW,https://api.spotify.com/v1/audio-analysis/1yZGylfVLuHDFJFeYwcmcW,241293,4
6,You Made Me Find Myself,Twisted Angel,LeAnn Rimes,219906,spotify:track:4QKZn0zjgNqSRw1K6bgTsZ,https://api.spotify.com/v1/tracks/4QKZn0zjgNqSRw1K6bgTsZ,0.438,0.576,8,-5.387,1,0.0367,0.547,0.0,0.0876,0.131,137.711,audio_features,4QKZn0zjgNqSRw1K6bgTsZ,spotify:track:4QKZn0zjgNqSRw1K6bgTsZ,https://api.spotify.com/v1/tracks/4QKZn0zjgNqSRw1K6bgTsZ,https://api.spotify.com/v1/audio-analysis/4QKZn0zjgNqSRw1K6bgTsZ,219907,4
7,Twisted Angel,Twisted Angel,LeAnn Rimes,201733,spotify:track:5oXJV7k9pU6krgUe8klJeH,https://api.spotify.com/v1/tracks/5oXJV7k9pU6krgUe8klJeH,0.591,0.708,11,-5.603,0,0.0591,0.0892,8.39e-06,0.309,0.705,139.738,audio_features,5oXJV7k9pU6krgUe8klJeH,spotify:track:5oXJV7k9pU6krgUe8klJeH,https://api.spotify.com/v1/tracks/5oXJV7k9pU6krgUe8klJeH,https://api.spotify.com/v1/audio-analysis/5oXJV7k9pU6krgUe8klJeH,201733,3
8,Alkaloids,Side Effects,Reflected Illusions,636000,spotify:track:3UDGrXITGUKPvCBfbZaK5F,https://api.spotify.com/v1/tracks/3UDGrXITGUKPvCBfbZaK5F,0.212,0.319,9,-16.591,0,0.0478,0.775,0.861,0.0781,0.0279,131.224,audio_features,3UDGrXITGUKPvCBfbZaK5F,spotify:track:3UDGrXITGUKPvCBfbZaK5F,https://api.spotify.com/v1/tracks/3UDGrXITGUKPvCBfbZaK5F,https://api.spotify.com/v1/audio-analysis/3UDGrXITGUKPvCBfbZaK5F,636000,3
9,Lysergic Daydreaming,Side Effects,Reflected Illusions,1195986,spotify:track:2riBrTYwfMcslFa6Ru2DnI,https://api.spotify.com/v1/tracks/2riBrTYwfMcslFa6Ru2DnI,0.479,0.352,9,-13.169,0,0.0373,0.994,0.906,0.145,0.18,188.001,audio_features,2riBrTYwfMcslFa6Ru2DnI,spotify:track:2riBrTYwfMcslFa6Ru2DnI,https://api.spotify.com/v1/tracks/2riBrTYwfMcslFa6Ru2DnI,https://api.spotify.com/v1/audio-analysis/2riBrTYwfMcslFa6Ru2DnI,1195987,4
10,Sweep The Light,Side Effects,Reflected Illusions,388000,spotify:track:1HNw2uIYnd2ocWB2o1eX4w,https://api.spotify.com/v1/tracks/1HNw2uIYnd2ocWB2o1eX4w,0.349,0.185,9,-21.071,0,0.0389,0.971,0.918,0.174,0.323,199.921,audio_features,1HNw2uIYnd2ocWB2o1eX4w,spotify:track:1HNw2uIYnd2ocWB2o1eX4w,https://api.spotify.com/v1/tracks/1HNw2uIYnd2ocWB2o1eX4w,https://api.spotify.com/v1/audio-analysis/1HNw2uIYnd2ocWB2o1eX4w,388000,4
