,song_name,album_name,artist_name,duration_ms,uri,href,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,The Only Minority,In The Fishtank 12,Karate,63000,spotify:track:19QFxKRyymoYB5QocFbqPy,https://api.spotify.com/v1/tracks/19QFxKRyymoYB5QocFbqPy,0.405,0.829,6,-6.555,1,0.0398,0.00519,0.0155,0.0928,0.975,161.999,audio_features,19QFxKRyymoYB5QocFbqPy,spotify:track:19QFxKRyymoYB5QocFbqPy,https://api.spotify.com/v1/tracks/19QFxKRyymoYB5QocFbqPy,https://api.spotify.com/v1/audio-analysis/19QFxKRyymoYB5QocFbqPy,63000,4
1,Tears of Rage,In The Fishtank 12,Karate,252666,spotify:track:0KJXHT2ipCMmoPMgjeHUSW,https://api.spotify.com/v1/tracks/0KJXHT2ipCMmoPMgjeHUSW,0.443,0.575,11,-8.107,1,0.0307,0.0106,0.00108,0.154,0.387,130.983,audio_features,0KJXHT2ipCMmoPMgjeHUSW,spotify:track:0KJXHT2ipCMmoPMgjeHUSW,https://api.spotify.com/v1/tracks/0KJXHT2ipCMmoPMgjeHUSW,https://api.spotify.com/v1/audio-analysis/0KJXHT2ipCMmoPMgjeHUSW,252667,4
2,Bob Dylan Wrote Propaganda Songs,In The Fishtank 12,Karate,95000,spotify:track:5xJbOiTG6YpYBSVz3lCWTY,https://api.spotify.com/v1/tracks/5xJbOiTG6YpYBSVz3lCWTY,0.452,0.983,4,-6.052,1,0.0956,0.0057,0.787,0.115,0.169,145.76,audio_features,5xJbOiTG6YpYBSVz3lCWTY,spotify:track:5xJbOiTG6YpYBSVz3lCWTY,https://api.spotify.com/v1/tracks/5xJbOiTG6YpYBSVz3lCWTY,https://api.spotify.com/v1/audio-analysis/5xJbOiTG6YpYBSVz3lCWTY,95000,4
3,Need A Job,In The Fishtank 12,Karate,140333,spotify:track:5LgQLemz1iuV71CkabxURT,https://api.spotify.com/v1/tracks/5LgQLemz1iuV71CkabxURT,0.49,0.816,1,-7.196,1,0.0632,0.00124,0.0577,0.133,0.661,138.429,audio_features,5LgQLemz1iuV71CkabxURT,spotify:track:5LgQLemz1iuV71CkabxURT,https://api.spotify.com/v1/tracks/5LgQLemz1iuV71CkabxURT,https://api.spotify.com/v1/audio-analysis/5LgQLemz1iuV71CkabxURT,140333,4
4,This Ain't No Picnic,In The Fishtank 12,Karate,115000,spotify:track:51piY3vkkWxG11BCUdhnbI,https://api.spotify.com/v1/tracks/51piY3vkkWxG11BCUdhnbI,0.53,0.7,11,-6.307,0,0.0747,0.00435,0.000277,0.0436,0.426,155.345,audio_features,51piY3vkkWxG11BCUdhnbI,spotify:track:51piY3vkkWxG11BCUdhnbI,https://api.spotify.com/v1/tracks/51piY3vkkWxG11BCUdhnbI,https://api.spotify.com/v1/audio-analysis/51piY3vkkWxG11BCUdhnbI,115000,4
5,Good Enough For Me,Rowdy Reputation,Frank Foster,221213,spotify:track:63ebmzetPY7d8TkPtw61t8,https://api.spotify.com/v1/tracks/63ebmzetPY7d8TkPtw61t8,0.693,0.734,1,-7.366,0,0.0277,0.117,3.29e-06,0.113,0.854,99.045,audio_features,63ebmzetPY7d8TkPtw61t8,spotify:track:63ebmzetPY7d8TkPtw61t8,https://api.spotify.com/v1/tracks/63ebmzetPY7d8TkPtw61t8,https://api.spotify.com/v1/audio-analysis/63ebmzetPY7d8TkPtw61t8,221213,4
6,Country To the Bone,Rowdy Reputation,Frank Foster,234840,spotify:track:0qYduJGb5ZaORlnyzz7qDc,https://api.spotify.com/v1/tracks/0qYduJGb5ZaORlnyzz7qDc,0.505,0.866,1,-6.426,1,0.047,0.0773,2.92e-06,0.315,0.735,165.042,audio_features,0qYduJGb5ZaORlnyzz7qDc,spotify:track:0qYduJGb5ZaORlnyzz7qDc,https://api.spotify.com/v1/tracks/0qYduJGb5ZaORlnyzz7qDc,https://api.spotify.com/v1/audio-analysis/0qYduJGb5ZaORlnyzz7qDc,234840,4
7,Some of Us Still Do,Rowdy Reputation,Frank Foster,282906,spotify:track:3FZUKEHT9vanftOEGsV2vj,https://api.spotify.com/v1/tracks/3FZUKEHT9vanftOEGsV2vj,0.518,0.685,5,-7.433,1,0.0342,0.485,0.000907,0.263,0.584,142.017,audio_features,3FZUKEHT9vanftOEGsV2vj,spotify:track:3FZUKEHT9vanftOEGsV2vj,https://api.spotify.com/v1/tracks/3FZUKEHT9vanftOEGsV2vj,https://api.spotify.com/v1/audio-analysis/3FZUKEHT9vanftOEGsV2vj,282907,4
8,Rowdy Reputation,Rowdy Reputation,Frank Foster,180133,spotify:track:0DzSppfa0VaEKL5KUdHrqu,https://api.spotify.com/v1/tracks/0DzSppfa0VaEKL5KUdHrqu,0.559,0.783,4,-6.184,1,0.0521,0.401,1.26e-05,0.322,0.81,101.045,audio_features,0DzSppfa0VaEKL5KUdHrqu,spotify:track:0DzSppfa0VaEKL5KUdHrqu,https://api.spotify.com/v1/tracks/0DzSppfa0VaEKL5KUdHrqu,https://api.spotify.com/v1/audio-analysis/0DzSppfa0VaEKL5KUdHrqu,180133,4
9,Gulf Coast Cowboy,Rowdy Reputation,Frank Foster,228200,spotify:track:2XFb2K5wVKZ6Dnc332AMxg,https://api.spotify.com/v1/tracks/2XFb2K5wVKZ6Dnc332AMxg,0.65,0.541,3,-8.327,1,0.0277,0.242,6.79e-06,0.126,0.374,135.077,audio_features,2XFb2K5wVKZ6Dnc332AMxg,spotify:track:2XFb2K5wVKZ6Dnc332AMxg,https://api.spotify.com/v1/tracks/2XFb2K5wVKZ6Dnc332AMxg,https://api.spotify.com/v1/audio-analysis/2XFb2K5wVKZ6Dnc332AMxg,228200,4
