,song_name,album_name,artist_name,duration_ms,uri,href,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,It Doesn't Get Any Countrier Than This,Not A Moment Too Soon,Tim McGraw,151306,spotify:track:2qaWSNAp5XJpOETtk0lVqY,https://api.spotify.com/v1/tracks/2qaWSNAp5XJpOETtk0lVqY,0.608,0.85,9,-9.154,1,0.0313,0.115,2.92e-06,0.143,0.839,145.009,audio_features,2qaWSNAp5XJpOETtk0lVqY,spotify:track:2qaWSNAp5XJpOETtk0lVqY,https://api.spotify.com/v1/tracks/2qaWSNAp5XJpOETtk0lVqY,https://api.spotify.com/v1/audio-analysis/2qaWSNAp5XJpOETtk0lVqY,151307,4
1,Give It To Me Strait,Not A Moment Too Soon,Tim McGraw,166226,spotify:track:7bNDFrHTqxu3gNvMTO1aY8,https://api.spotify.com/v1/tracks/7bNDFrHTqxu3gNvMTO1aY8,0.602,0.717,8,-9.916,1,0.0376,0.0544,0.0,0.189,0.826,164.94,audio_features,7bNDFrHTqxu3gNvMTO1aY8,spotify:track:7bNDFrHTqxu3gNvMTO1aY8,https://api.spotify.com/v1/tracks/7bNDFrHTqxu3gNvMTO1aY8,https://api.spotify.com/v1/audio-analysis/7bNDFrHTqxu3gNvMTO1aY8,166227,4
2,Down On The Farm,McGRAW (The Ultimate Collection),Tim McGraw,175666,spotify:track:7lzvAbRxLmlNQbuvz9ueyX,https://api.spotify.com/v1/tracks/7lzvAbRxLmlNQbuvz9ueyX,0.72,0.927,5,-4.581,0,0.0325,0.109,0.0,0.101,0.941,127.655,audio_features,7lzvAbRxLmlNQbuvz9ueyX,spotify:track:7lzvAbRxLmlNQbuvz9ueyX,https://api.spotify.com/v1/tracks/7lzvAbRxLmlNQbuvz9ueyX,https://api.spotify.com/v1/audio-analysis/7lzvAbRxLmlNQbuvz9ueyX,175667,4
3,Not A Moment Too Soon,Love Story,Tim McGraw,227866,spotify:track:0ABC5d3CkbE7jaCx3WImjJ,https://api.spotify.com/v1/tracks/0ABC5d3CkbE7jaCx3WImjJ,0.707,0.363,7,-14.798,1,0.0288,0.0385,1.41e-05,0.23,0.621,120.626,audio_features,0ABC5d3CkbE7jaCx3WImjJ,spotify:track:0ABC5d3CkbE7jaCx3WImjJ,https://api.spotify.com/v1/tracks/0ABC5d3CkbE7jaCx3WImjJ,https://api.spotify.com/v1/audio-analysis/0ABC5d3CkbE7jaCx3WImjJ,227867,4
4,Indian Outlaw,"Cool Country Hits, Vol. 2",Tim McGraw,182120,spotify:track:5VHACgmvojLAv59c6Lc3qT,https://api.spotify.com/v1/tracks/5VHACgmvojLAv59c6Lc3qT,0.664,0.739,9,-7.229,1,0.0415,0.0364,4.99e-05,0.282,0.759,110.101,audio_features,5VHACgmvojLAv59c6Lc3qT,spotify:track:5VHACgmvojLAv59c6Lc3qT,https://api.spotify.com/v1/tracks/5VHACgmvojLAv59c6Lc3qT,https://api.spotify.com/v1/audio-analysis/5VHACgmvojLAv59c6Lc3qT,182120,4
5,Refried Dreams,McGRAW (The Ultimate Collection),Tim McGraw,165106,spotify:track:5DoJEuCjvn1sHsOfBmOKQd,https://api.spotify.com/v1/tracks/5DoJEuCjvn1sHsOfBmOKQd,0.744,0.886,6,-3.68,1,0.0287,0.173,0.0,0.231,0.964,124.641,audio_features,5DoJEuCjvn1sHsOfBmOKQd,spotify:track:5DoJEuCjvn1sHsOfBmOKQd,https://api.spotify.com/v1/tracks/5DoJEuCjvn1sHsOfBmOKQd,https://api.spotify.com/v1/audio-analysis/5DoJEuCjvn1sHsOfBmOKQd,165107,4
6,40 Days And 40 Nights,Not A Moment Too Soon,Tim McGraw,179226,spotify:track:3K1gcmCknGWEmZCV1Wrvlg,https://api.spotify.com/v1/tracks/3K1gcmCknGWEmZCV1Wrvlg,0.707,0.491,3,-11.138,1,0.0299,0.231,0.0,0.139,0.909,106.567,audio_features,3K1gcmCknGWEmZCV1Wrvlg,spotify:track:3K1gcmCknGWEmZCV1Wrvlg,https://api.spotify.com/v1/tracks/3K1gcmCknGWEmZCV1Wrvlg,https://api.spotify.com/v1/audio-analysis/3K1gcmCknGWEmZCV1Wrvlg,179227,4
7,Love Sky - Original Boat Cruz Mix,Love Sky,Jon E Bravo,510000,spotify:track:30Ko2UHFGVb5iclwe2IVVl,https://api.spotify.com/v1/tracks/30Ko2UHFGVb5iclwe2IVVl,0.775,0.677,6,-5.603,0,0.108,0.0331,0.931,0.0503,0.787,127.996,audio_features,30Ko2UHFGVb5iclwe2IVVl,spotify:track:30Ko2UHFGVb5iclwe2IVVl,https://api.spotify.com/v1/tracks/30Ko2UHFGVb5iclwe2IVVl,https://api.spotify.com/v1/audio-analysis/30Ko2UHFGVb5iclwe2IVVl,510000,4
8,Dziaku,Tea Ceremonies Music,Roman Yakub,577373,spotify:track:63jFW2WnUMJEBW5MytbEA8,https://api.spotify.com/v1/tracks/63jFW2WnUMJEBW5MytbEA8,0.543,0.168,0,-21.105,0,0.131,0.921,0.95,0.104,0.721,120.013,audio_features,63jFW2WnUMJEBW5MytbEA8,spotify:track:63jFW2WnUMJEBW5MytbEA8,https://api.spotify.com/v1/tracks/63jFW2WnUMJEBW5MytbEA8,https://api.spotify.com/v1/audio-analysis/63jFW2WnUMJEBW5MytbEA8,577373,3
9,Yodzo,Tea Ceremonies Music,Roman Yakub,602400,spotify:track:2T7kQesNbW2kAc4OyyVQPa,https://api.spotify.com/v1/tracks/2T7kQesNbW2kAc4OyyVQPa,0.509,0.101,7,-23.589,0,0.0532,0.963,0.89,0.624,0.14,150.088,audio_features,2T7kQesNbW2kAc4OyyVQPa,spotify:track:2T7kQesNbW2kAc4OyyVQPa,https://api.spotify.com/v1/tracks/2T7kQesNbW2kAc4OyyVQPa,https://api.spotify.com/v1/audio-analysis/2T7kQesNbW2kAc4OyyVQPa,602400,3
10,Etidza,Tea Ceremonies Music,Roman Yakub,325840,spotify:track:7lrWxf2tByR8jPrwvCg2wS,https://api.spotify.com/v1/tracks/7lrWxf2tByR8jPrwvCg2wS,0.564,0.0107,0,-26.752,1,0.111,0.98,0.707,0.0756,0.106,90.164,audio_features,7lrWxf2tByR8jPrwvCg2wS,spotify:track:7lrWxf2tByR8jPrwvCg2wS,https://api.spotify.com/v1/tracks/7lrWxf2tByR8jPrwvCg2wS,https://api.spotify.com/v1/audio-analysis/7lrWxf2tByR8jPrwvCg2wS,325840,4
11,When I Dream at Night,Marc Anthony,Marc Anthony,260293,spotify:track:1XYwlFvi9yPNruCanSJ3WP,https://api.spotify.com/v1/tracks/1XYwlFvi9yPNruCanSJ3WP,0.537,0.899,2,-5.405,0,0.092,0.482,3.13e-05,0.0818,0.548,167.79,audio_features,1XYwlFvi9yPNruCanSJ3WP,spotify:track:1XYwlFvi9yPNruCanSJ3WP,https://api.spotify.com/v1/tracks/1XYwlFvi9yPNruCanSJ3WP,https://api.spotify.com/v1/audio-analysis/1XYwlFvi9yPNruCanSJ3WP,260293,4
12,I Need to Know,Marc Anthony,Marc Anthony,227706,spotify:track:7ffwRz8lZyDOE4Vj58Lo72,https://api.spotify.com/v1/tracks/7ffwRz8lZyDOE4Vj58Lo72,0.813,0.949,3,-2.563,0,0.0336,0.486,9.75e-06,0.112,0.792,115.061,audio_features,7ffwRz8lZyDOE4Vj58Lo72,spotify:track:7ffwRz8lZyDOE4Vj58Lo72,https://api.spotify.com/v1/tracks/7ffwRz8lZyDOE4Vj58Lo72,https://api.spotify.com/v1/audio-analysis/7ffwRz8lZyDOE4Vj58Lo72,227707,4
