,song_name,album_name,artist_name,duration_ms,uri,href,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,0
0,Beautiful Amnesia,Message to Garcia,Visqueen,215360,spotify:track:6R6kqxc2ibqexVtrLZGUGV,https://api.spotify.com/v1/tracks/6R6kqxc2ibqexVtrLZGUGV,0.437,0.78,11.0,-5.076,1.0,0.0326,0.00199,0.0,0.0796,0.723,161.939,audio_features,6R6kqxc2ibqexVtrLZGUGV,spotify:track:6R6kqxc2ibqexVtrLZGUGV,https://api.spotify.com/v1/tracks/6R6kqxc2ibqexVtrLZGUGV,https://api.spotify.com/v1/audio-analysis/6R6kqxc2ibqexVtrLZGUGV,215360.0,4.0,
1,Janitor's Waltz,Message to Garcia,Visqueen,195440,spotify:track:2SvP0m3VJHpXwHRHvzKSms,https://api.spotify.com/v1/tracks/2SvP0m3VJHpXwHRHvzKSms,0.43,0.804,9.0,-5.541,1.0,0.0404,0.443,0.000137,0.338,0.566,142.388,audio_features,2SvP0m3VJHpXwHRHvzKSms,spotify:track:2SvP0m3VJHpXwHRHvzKSms,https://api.spotify.com/v1/tracks/2SvP0m3VJHpXwHRHvzKSms,https://api.spotify.com/v1/audio-analysis/2SvP0m3VJHpXwHRHvzKSms,195440.0,3.0,
2,Jimmy vs. James,Message to Garcia,Visqueen,174280,spotify:track:2E1jKjDfVwNcAqMTuGpG63,https://api.spotify.com/v1/tracks/2E1jKjDfVwNcAqMTuGpG63,0.582,0.926,9.0,-4.759,1.0,0.0967,0.202,0.0,0.328,0.703,134.065,audio_features,2E1jKjDfVwNcAqMTuGpG63,spotify:track:2E1jKjDfVwNcAqMTuGpG63,https://api.spotify.com/v1/tracks/2E1jKjDfVwNcAqMTuGpG63,https://api.spotify.com/v1/audio-analysis/2E1jKjDfVwNcAqMTuGpG63,174280.0,4.0,
3,Nicki's Journey,Unconventional Wisdom,Randy Sandke,368826,spotify:track:3WIuGBlEj7iw5JGHVhvzHx,https://api.spotify.com/v1/tracks/3WIuGBlEj7iw5JGHVhvzHx,0.561,0.369,0.0,-12.62,0.0,0.0527,0.204,0.573,0.091,0.351,102.585,audio_features,3WIuGBlEj7iw5JGHVhvzHx,spotify:track:3WIuGBlEj7iw5JGHVhvzHx,https://api.spotify.com/v1/tracks/3WIuGBlEj7iw5JGHVhvzHx,https://api.spotify.com/v1/audio-analysis/3WIuGBlEj7iw5JGHVhvzHx,368827.0,4.0,
4,Little Bix,Unconventional Wisdom,Randy Sandke,248653,spotify:track:6mL1aGubNIdlDCcFEYO8yE,https://api.spotify.com/v1/tracks/6mL1aGubNIdlDCcFEYO8yE,0.714,0.196,3.0,-10.264,1.0,0.0615,0.782,0.479,0.113,0.255,61.852,audio_features,6mL1aGubNIdlDCcFEYO8yE,spotify:track:6mL1aGubNIdlDCcFEYO8yE,https://api.spotify.com/v1/tracks/6mL1aGubNIdlDCcFEYO8yE,https://api.spotify.com/v1/audio-analysis/6mL1aGubNIdlDCcFEYO8yE,248653.0,4.0,
5,A Song for Our Fathers - Remastered,A Song for Our Fathers (Remastered),Explosions In The Sky,344100,spotify:track:3m8i2yeonfGWrlrLCUmAel,https://api.spotify.com/v1/tracks/3m8i2yeonfGWrlrLCUmAel,0.379,0.52,11.0,-13.422,0.0,0.0383,0.571,0.89,0.0856,0.267,163.673,audio_features,3m8i2yeonfGWrlrLCUmAel,spotify:track:3m8i2yeonfGWrlrLCUmAel,https://api.spotify.com/v1/tracks/3m8i2yeonfGWrlrLCUmAel,https://api.spotify.com/v1/audio-analysis/3m8i2yeonfGWrlrLCUmAel,344101.0,4.0,
6,Snow And Lights - Remastered,"How Strange, Innocence (Anniversary Edition)",Explosions In The Sky,497794,spotify:track:5WEtZRN5a1sjgpS46Esy0M,https://api.spotify.com/v1/tracks/5WEtZRN5a1sjgpS46Esy0M,0.278,0.495,2.0,-12.348,1.0,0.0384,0.0738,0.772,0.0594,0.139,130.27,audio_features,5WEtZRN5a1sjgpS46Esy0M,spotify:track:5WEtZRN5a1sjgpS46Esy0M,https://api.spotify.com/v1/tracks/5WEtZRN5a1sjgpS46Esy0M,https://api.spotify.com/v1/audio-analysis/5WEtZRN5a1sjgpS46Esy0M,497795.0,4.0,
7,Magic Hours - Remastered,"How Strange, Innocence (Anniversary Edition)",Explosions In The Sky,513065,spotify:track:3ZKBDuoJLM5ER9TROYiOSl,https://api.spotify.com/v1/tracks/3ZKBDuoJLM5ER9TROYiOSl,0.413,0.469,0.0,-11.814,1.0,0.0342,0.143,0.873,0.0897,0.0934,102.316,audio_features,3ZKBDuoJLM5ER9TROYiOSl,spotify:track:3ZKBDuoJLM5ER9TROYiOSl,https://api.spotify.com/v1/tracks/3ZKBDuoJLM5ER9TROYiOSl,https://api.spotify.com/v1/audio-analysis/3ZKBDuoJLM5ER9TROYiOSl,513067.0,4.0,
8,Look Into The Air - Remastered,"How Strange, Innocence (Anniversary Edition)",Explosions In The Sky,325960,spotify:track:7aRqHr6uDB4PCNqOnxW5Uv,https://api.spotify.com/v1/tracks/7aRqHr6uDB4PCNqOnxW5Uv,0.321,0.338,9.0,-15.254,1.0,0.0351,0.703,0.78,0.114,0.168,86.567,audio_features,7aRqHr6uDB4PCNqOnxW5Uv,spotify:track:7aRqHr6uDB4PCNqOnxW5Uv,https://api.spotify.com/v1/tracks/7aRqHr6uDB4PCNqOnxW5Uv,https://api.spotify.com/v1/audio-analysis/7aRqHr6uDB4PCNqOnxW5Uv,325960.0,4.0,
9,Glittering Blackness - Remastered,"How Strange, Innocence (Anniversary Edition)",Explosions In The Sky,328893,spotify:track:6mIayCRtWEzOkVLOTnb3MD,https://api.spotify.com/v1/tracks/6mIayCRtWEzOkVLOTnb3MD,0.346,0.66,4.0,-10.751,0.0,0.0289,0.688,0.942,0.245,0.185,114.378,audio_features,6mIayCRtWEzOkVLOTnb3MD,spotify:track:6mIayCRtWEzOkVLOTnb3MD,https://api.spotify.com/v1/tracks/6mIayCRtWEzOkVLOTnb3MD,https://api.spotify.com/v1/audio-analysis/6mIayCRtWEzOkVLOTnb3MD,328893.0,4.0,
