,song_name,album_name,artist_name,duration_ms,uri,href,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,The Happy Couple,Breakfast In The Field,Michael Hedges,203533,spotify:track:7KjFYUPyIBEAK3bGXElM0O,https://api.spotify.com/v1/tracks/7KjFYUPyIBEAK3bGXElM0O,0.326,0.165,0,-23.269,1,0.0357,0.862,0.874,0.0997,0.176,89.82,audio_features,7KjFYUPyIBEAK3bGXElM0O,spotify:track:7KjFYUPyIBEAK3bGXElM0O,https://api.spotify.com/v1/tracks/7KjFYUPyIBEAK3bGXElM0O,https://api.spotify.com/v1/audio-analysis/7KjFYUPyIBEAK3bGXElM0O,203533,4
1,Eleven Small Roaches,Beyond Boundaries: Guitar Solos,Michael Hedges,183600,spotify:track:6Uyyu1rHUh6SXASQKHD4ts,https://api.spotify.com/v1/tracks/6Uyyu1rHUh6SXASQKHD4ts,0.411,0.154,0,-23.218,1,0.0446,0.748,0.859,0.107,0.44,77.441,audio_features,6Uyyu1rHUh6SXASQKHD4ts,spotify:track:6Uyyu1rHUh6SXASQKHD4ts,https://api.spotify.com/v1/tracks/6Uyyu1rHUh6SXASQKHD4ts,https://api.spotify.com/v1/audio-analysis/6Uyyu1rHUh6SXASQKHD4ts,183600,4
2,The Funky Avocado,Beyond Boundaries: Guitar Solos,Michael Hedges,202400,spotify:track:3STE1uo5bQPaHemNFY5neb,https://api.spotify.com/v1/tracks/3STE1uo5bQPaHemNFY5neb,0.598,0.289,11,-18.103,0,0.0468,0.067,0.742,0.312,0.328,113.692,audio_features,3STE1uo5bQPaHemNFY5neb,spotify:track:3STE1uo5bQPaHemNFY5neb,https://api.spotify.com/v1/tracks/3STE1uo5bQPaHemNFY5neb,https://api.spotify.com/v1/audio-analysis/3STE1uo5bQPaHemNFY5neb,202400,4
3,Baby Toes,Breakfast In The Field,Michael Hedges,132533,spotify:track:0e5JCVVf3eBmCxDyesys42,https://api.spotify.com/v1/tracks/0e5JCVVf3eBmCxDyesys42,0.548,0.025,7,-25.323,1,0.0592,0.919,0.897,0.112,0.101,94.779,audio_features,0e5JCVVf3eBmCxDyesys42,spotify:track:0e5JCVVf3eBmCxDyesys42,https://api.spotify.com/v1/tracks/0e5JCVVf3eBmCxDyesys42,https://api.spotify.com/v1/audio-analysis/0e5JCVVf3eBmCxDyesys42,132533,4
4,Breakfast in the Field,Live On The Double Planet,Michael Hedges,136600,spotify:track:3lxZaZG8YiQNnWh8Yzb7mx,https://api.spotify.com/v1/tracks/3lxZaZG8YiQNnWh8Yzb7mx,0.368,0.00779,7,-25.171,1,0.0425,0.722,0.391,0.111,0.0486,136.797,audio_features,3lxZaZG8YiQNnWh8Yzb7mx,spotify:track:3lxZaZG8YiQNnWh8Yzb7mx,https://api.spotify.com/v1/tracks/3lxZaZG8YiQNnWh8Yzb7mx,https://api.spotify.com/v1/audio-analysis/3lxZaZG8YiQNnWh8Yzb7mx,136600,3
5,Two Days Old,Breakfast In The Field,Michael Hedges,284733,spotify:track:3fko5Usg2AO2HROxaiAEMV,https://api.spotify.com/v1/tracks/3fko5Usg2AO2HROxaiAEMV,0.554,0.0823,3,-24.882,1,0.0426,0.903,0.517,0.111,0.184,103.695,audio_features,3fko5Usg2AO2HROxaiAEMV,spotify:track:3fko5Usg2AO2HROxaiAEMV,https://api.spotify.com/v1/tracks/3fko5Usg2AO2HROxaiAEMV,https://api.spotify.com/v1/audio-analysis/3fko5Usg2AO2HROxaiAEMV,284733,4
6,Peg Leg Speed King,Breakfast In The Field,Michael Hedges,200333,spotify:track:5ScYGX1VECPCQiJTbDcpLE,https://api.spotify.com/v1/tracks/5ScYGX1VECPCQiJTbDcpLE,0.301,0.203,0,-21.491,1,0.0465,0.485,0.858,0.12,0.198,148.365,audio_features,5ScYGX1VECPCQiJTbDcpLE,spotify:track:5ScYGX1VECPCQiJTbDcpLE,https://api.spotify.com/v1/tracks/5ScYGX1VECPCQiJTbDcpLE,https://api.spotify.com/v1/audio-analysis/5ScYGX1VECPCQiJTbDcpLE,200333,4
7,The Unexpected Visitor,Beyond Boundaries: Guitar Solos,Michael Hedges,167773,spotify:track:3qZmLeSXNVirciVHswfzla,https://api.spotify.com/v1/tracks/3qZmLeSXNVirciVHswfzla,0.367,0.214,0,-21.584,1,0.0397,0.552,0.324,0.066,0.576,91.89,audio_features,3qZmLeSXNVirciVHswfzla,spotify:track:3qZmLeSXNVirciVHswfzla,https://api.spotify.com/v1/tracks/3qZmLeSXNVirciVHswfzla,https://api.spotify.com/v1/audio-analysis/3qZmLeSXNVirciVHswfzla,167773,4
8,Silent Anticipations,Live On The Double Planet,Michael Hedges,182866,spotify:track:3G2Ppy8qmreDT3Dgcm4ncD,https://api.spotify.com/v1/tracks/3G2Ppy8qmreDT3Dgcm4ncD,0.427,0.144,2,-21.204,1,0.0794,0.0564,0.659,0.0392,0.0792,82.249,audio_features,3G2Ppy8qmreDT3Dgcm4ncD,spotify:track:3G2Ppy8qmreDT3Dgcm4ncD,https://api.spotify.com/v1/tracks/3G2Ppy8qmreDT3Dgcm4ncD,https://api.spotify.com/v1/audio-analysis/3G2Ppy8qmreDT3Dgcm4ncD,182867,4
9,Lenono,Breakfast In The Field,Michael Hedges,236066,spotify:track:2dg4UWLKhtshzxMTWznMdz,https://api.spotify.com/v1/tracks/2dg4UWLKhtshzxMTWznMdz,0.391,0.0745,0,-28.795,1,0.0468,0.898,0.933,0.11,0.162,115.105,audio_features,2dg4UWLKhtshzxMTWznMdz,spotify:track:2dg4UWLKhtshzxMTWznMdz,https://api.spotify.com/v1/tracks/2dg4UWLKhtshzxMTWznMdz,https://api.spotify.com/v1/audio-analysis/2dg4UWLKhtshzxMTWznMdz,236067,4
10,The World Of Tomorrow,Sky Captain And The World Of Tomorrow (Original Motion Picture Soundtrack),Edward Shearmur,67360,spotify:track:5YNp2Gp3yrnM7RqKfHtXCv,https://api.spotify.com/v1/tracks/5YNp2Gp3yrnM7RqKfHtXCv,0.508,0.386,5,-10.463,1,0.0322,0.682,0.496,0.249,0.133,126.1,audio_features,5YNp2Gp3yrnM7RqKfHtXCv,spotify:track:5YNp2Gp3yrnM7RqKfHtXCv,https://api.spotify.com/v1/tracks/5YNp2Gp3yrnM7RqKfHtXCv,https://api.spotify.com/v1/audio-analysis/5YNp2Gp3yrnM7RqKfHtXCv,67360,4
11,The Zeppelin Arrives,Sky Captain And The World Of Tomorrow (Original Motion Picture Soundtrack),Edward Shearmur,113266,spotify:track:27apwbpYUiflJDdjbnGUT0,https://api.spotify.com/v1/tracks/27apwbpYUiflJDdjbnGUT0,0.0749,0.23,6,-14.793,0,0.0347,0.543,0.905,0.0963,0.041,176.776,audio_features,27apwbpYUiflJDdjbnGUT0,spotify:track:27apwbpYUiflJDdjbnGUT0,https://api.spotify.com/v1/tracks/27apwbpYUiflJDdjbnGUT0,https://api.spotify.com/v1/audio-analysis/27apwbpYUiflJDdjbnGUT0,113267,4
12,The Robot Army,Sky Captain And The World Of Tomorrow (Original Motion Picture Soundtrack),Edward Shearmur,181866,spotify:track:3uwg3djIF94KpjgEvHIiJK,https://api.spotify.com/v1/tracks/3uwg3djIF94KpjgEvHIiJK,0.296,0.395,5,-12.725,1,0.0471,0.41,0.832,0.533,0.0795,123.823,audio_features,3uwg3djIF94KpjgEvHIiJK,spotify:track:3uwg3djIF94KpjgEvHIiJK,https://api.spotify.com/v1/tracks/3uwg3djIF94KpjgEvHIiJK,https://api.spotify.com/v1/audio-analysis/3uwg3djIF94KpjgEvHIiJK,181867,4
13,Calling Sky Captain,Sky Captain And The World Of Tomorrow (Original Motion Picture Soundtrack),Edward Shearmur,204933,spotify:track:5pPmnVPZud0G1X8yiOjaF2,https://api.spotify.com/v1/tracks/5pPmnVPZud0G1X8yiOjaF2,0.157,0.705,5,-9.222,1,0.052,0.305,0.772,0.286,0.0814,68.284,audio_features,5pPmnVPZud0G1X8yiOjaF2,spotify:track:5pPmnVPZud0G1X8yiOjaF2,https://api.spotify.com/v1/tracks/5pPmnVPZud0G1X8yiOjaF2,https://api.spotify.com/v1/audio-analysis/5pPmnVPZud0G1X8yiOjaF2,204933,4
14,Back At The Base,Sky Captain And The World Of Tomorrow (Original Motion Picture Soundtrack),Edward Shearmur,169226,spotify:track:0MUj1aLJUFuiW0yaVsjJ3V,https://api.spotify.com/v1/tracks/0MUj1aLJUFuiW0yaVsjJ3V,0.135,0.0188,5,-29.737,0,0.0387,0.948,0.694,0.11,0.0379,99.94,audio_features,0MUj1aLJUFuiW0yaVsjJ3V,spotify:track:0MUj1aLJUFuiW0yaVsjJ3V,https://api.spotify.com/v1/tracks/0MUj1aLJUFuiW0yaVsjJ3V,https://api.spotify.com/v1/audio-analysis/0MUj1aLJUFuiW0yaVsjJ3V,169227,4
15,The Flying Wings Attack,Sky Captain And The World Of Tomorrow (Original Motion Picture Soundtrack),Edward Shearmur,391733,spotify:track:4BxczDT8z30Z4OF4VbN9VT,https://api.spotify.com/v1/tracks/4BxczDT8z30Z4OF4VbN9VT,0.208,0.57,5,-10.797,0,0.0572,0.648,0.851,0.769,0.121,75.026,audio_features,4BxczDT8z30Z4OF4VbN9VT,spotify:track:4BxczDT8z30Z4OF4VbN9VT,https://api.spotify.com/v1/tracks/4BxczDT8z30Z4OF4VbN9VT,https://api.spotify.com/v1/audio-analysis/4BxczDT8z30Z4OF4VbN9VT,391733,4
16,An Aquatic Escape,Sky Captain And The World Of Tomorrow (Original Motion Picture Soundtrack),Edward Shearmur,149933,spotify:track:3es8vJyrIAQTD64R3SyelY,https://api.spotify.com/v1/tracks/3es8vJyrIAQTD64R3SyelY,0.181,0.51,5,-12.898,0,0.0502,0.62,0.954,0.18,0.0983,118.546,audio_features,3es8vJyrIAQTD64R3SyelY,spotify:track:3es8vJyrIAQTD64R3SyelY,https://api.spotify.com/v1/tracks/3es8vJyrIAQTD64R3SyelY,https://api.spotify.com/v1/audio-analysis/3es8vJyrIAQTD64R3SyelY,149933,5
17,Flight To Nepal,Sky Captain And The World Of Tomorrow (Original Motion Picture Soundtrack),Edward Shearmur,276600,spotify:track:57OuxdgN1Ly9Nt900FscDN,https://api.spotify.com/v1/tracks/57OuxdgN1Ly9Nt900FscDN,0.156,0.0603,2,-19.58,0,0.0365,0.855,0.638,0.114,0.042,52.609,audio_features,57OuxdgN1Ly9Nt900FscDN,spotify:track:57OuxdgN1Ly9Nt900FscDN,https://api.spotify.com/v1/tracks/57OuxdgN1Ly9Nt900FscDN,https://api.spotify.com/v1/audio-analysis/57OuxdgN1Ly9Nt900FscDN,276600,4
18,Treacherous Journey,Sky Captain And The World Of Tomorrow (Original Motion Picture Soundtrack),Edward Shearmur,142040,spotify:track:7jCCskbCKpKZ099TYIs1xi,https://api.spotify.com/v1/tracks/7jCCskbCKpKZ099TYIs1xi,0.0643,0.14,4,-16.379,0,0.039,0.868,0.932,0.0902,0.0324,48.903,audio_features,7jCCskbCKpKZ099TYIs1xi,spotify:track:7jCCskbCKpKZ099TYIs1xi,https://api.spotify.com/v1/tracks/7jCCskbCKpKZ099TYIs1xi,https://api.spotify.com/v1/audio-analysis/7jCCskbCKpKZ099TYIs1xi,142040,3
19,Finding Frankie,Sky Captain And The World Of Tomorrow (Original Motion Picture Soundtrack),Edward Shearmur,300400,spotify:track:6WdN6PvaMAFRNykGS5c5Tn,https://api.spotify.com/v1/tracks/6WdN6PvaMAFRNykGS5c5Tn,0.161,0.167,7,-15.675,1,0.0388,0.908,0.924,0.108,0.0502,85.064,audio_features,6WdN6PvaMAFRNykGS5c5Tn,spotify:track:6WdN6PvaMAFRNykGS5c5Tn,https://api.spotify.com/v1/tracks/6WdN6PvaMAFRNykGS5c5Tn,https://api.spotify.com/v1/audio-analysis/6WdN6PvaMAFRNykGS5c5Tn,300400,4
20,Manta Squadron,Sky Captain And The World Of Tomorrow (Original Motion Picture Soundtrack),Edward Shearmur,391840,spotify:track:1rgmI54ZL6GKpfpqBNwRuK,https://api.spotify.com/v1/tracks/1rgmI54ZL6GKpfpqBNwRuK,0.234,0.463,8,-12.53,1,0.06,0.781,0.906,0.157,0.0554,135.424,audio_features,1rgmI54ZL6GKpfpqBNwRuK,spotify:track:1rgmI54ZL6GKpfpqBNwRuK,https://api.spotify.com/v1/tracks/1rgmI54ZL6GKpfpqBNwRuK,https://api.spotify.com/v1/audio-analysis/1rgmI54ZL6GKpfpqBNwRuK,391840,4
21,H-770d,Sky Captain And The World Of Tomorrow (Original Motion Picture Soundtrack),Edward Shearmur,74266,spotify:track:1LRvxelxp9ZTKcmlNF5YLj,https://api.spotify.com/v1/tracks/1LRvxelxp9ZTKcmlNF5YLj,0.202,0.0334,1,-22.757,1,0.0409,0.931,0.608,0.123,0.0363,112.184,audio_features,1LRvxelxp9ZTKcmlNF5YLj,spotify:track:1LRvxelxp9ZTKcmlNF5YLj,https://api.spotify.com/v1/tracks/1LRvxelxp9ZTKcmlNF5YLj,https://api.spotify.com/v1/audio-analysis/1LRvxelxp9ZTKcmlNF5YLj,74267,3
22,Totenkopf's Ark,Sky Captain And The World Of Tomorrow (Original Motion Picture Soundtrack),Edward Shearmur,301573,spotify:track:5MV7A7ZJlmASqosbTHrMq1,https://api.spotify.com/v1/tracks/5MV7A7ZJlmASqosbTHrMq1,0.268,0.474,9,-13.298,0,0.0541,0.734,0.693,0.155,0.116,117.854,audio_features,5MV7A7ZJlmASqosbTHrMq1,spotify:track:5MV7A7ZJlmASqosbTHrMq1,https://api.spotify.com/v1/tracks/5MV7A7ZJlmASqosbTHrMq1,https://api.spotify.com/v1/audio-analysis/5MV7A7ZJlmASqosbTHrMq1,301573,4
