,song_name,album_name,artist_name,duration_ms,uri,href,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Secret Spaceman,The Big Picture,Uncle Rock,212200,spotify:track:0xY9iL3ToNZx84P7c8qCVs,https://api.spotify.com/v1/tracks/0xY9iL3ToNZx84P7c8qCVs,0.535,0.568,9,-6.02,1,0.0271,0.437,0.0,0.181,0.518,103.879,audio_features,0xY9iL3ToNZx84P7c8qCVs,spotify:track:0xY9iL3ToNZx84P7c8qCVs,https://api.spotify.com/v1/tracks/0xY9iL3ToNZx84P7c8qCVs,https://api.spotify.com/v1/audio-analysis/0xY9iL3ToNZx84P7c8qCVs,212200,4
1,Leave the Bees Be,The Big Picture,Uncle Rock,171906,spotify:track:7oAfc1mJgK66bkYQa37mMe,https://api.spotify.com/v1/tracks/7oAfc1mJgK66bkYQa37mMe,0.627,0.809,9,-5.83,0,0.0378,0.225,7.58e-05,0.0987,0.771,110.562,audio_features,7oAfc1mJgK66bkYQa37mMe,spotify:track:7oAfc1mJgK66bkYQa37mMe,https://api.spotify.com/v1/tracks/7oAfc1mJgK66bkYQa37mMe,https://api.spotify.com/v1/audio-analysis/7oAfc1mJgK66bkYQa37mMe,171907,4
2,There Is No Away,The Big Picture,Uncle Rock,196960,spotify:track:3IIQb0oIb5DJzjER69bXyC,https://api.spotify.com/v1/tracks/3IIQb0oIb5DJzjER69bXyC,0.424,0.388,4,-8.28,1,0.0319,0.798,0.0,0.104,0.189,140.574,audio_features,3IIQb0oIb5DJzjER69bXyC,spotify:track:3IIQb0oIb5DJzjER69bXyC,https://api.spotify.com/v1/tracks/3IIQb0oIb5DJzjER69bXyC,https://api.spotify.com/v1/audio-analysis/3IIQb0oIb5DJzjER69bXyC,196960,3
3,Stop at a Mom N' Pop,The Big Picture,Uncle Rock,163080,spotify:track:4IHVf8jKYtnjgOdbMvMXJU,https://api.spotify.com/v1/tracks/4IHVf8jKYtnjgOdbMvMXJU,0.716,0.829,7,-5.553,1,0.0704,0.515,2.01e-06,0.207,0.859,127.445,audio_features,4IHVf8jKYtnjgOdbMvMXJU,spotify:track:4IHVf8jKYtnjgOdbMvMXJU,https://api.spotify.com/v1/tracks/4IHVf8jKYtnjgOdbMvMXJU,https://api.spotify.com/v1/audio-analysis/4IHVf8jKYtnjgOdbMvMXJU,163080,4
4,Grabage Barge,The Big Picture,Uncle Rock,186946,spotify:track:08nBfvATLstoQO4rLvyKhp,https://api.spotify.com/v1/tracks/08nBfvATLstoQO4rLvyKhp,0.72,0.76,0,-7.909,1,0.0588,0.104,5.33e-06,0.36,0.78,111.002,audio_features,08nBfvATLstoQO4rLvyKhp,spotify:track:08nBfvATLstoQO4rLvyKhp,https://api.spotify.com/v1/tracks/08nBfvATLstoQO4rLvyKhp,https://api.spotify.com/v1/audio-analysis/08nBfvATLstoQO4rLvyKhp,186947,4
5,You Look Good In The Rain,Here We Go!,Uncle Rock,149000,spotify:track:4COoNPZKKsBrTs7YotmHD2,https://api.spotify.com/v1/tracks/4COoNPZKKsBrTs7YotmHD2,0.71,0.398,7,-6.907,1,0.0366,0.429,3.32e-06,0.248,0.898,116.752,audio_features,4COoNPZKKsBrTs7YotmHD2,spotify:track:4COoNPZKKsBrTs7YotmHD2,https://api.spotify.com/v1/tracks/4COoNPZKKsBrTs7YotmHD2,https://api.spotify.com/v1/audio-analysis/4COoNPZKKsBrTs7YotmHD2,149000,4
6,My Friend Bigfoot,The Big Picture,Uncle Rock,171493,spotify:track:7H1kE6sLT6wCbCVWaFUQiy,https://api.spotify.com/v1/tracks/7H1kE6sLT6wCbCVWaFUQiy,0.59,0.747,4,-6.141,0,0.18,0.187,0.0,0.273,0.663,131.746,audio_features,7H1kE6sLT6wCbCVWaFUQiy,spotify:track:7H1kE6sLT6wCbCVWaFUQiy,https://api.spotify.com/v1/tracks/7H1kE6sLT6wCbCVWaFUQiy,https://api.spotify.com/v1/audio-analysis/7H1kE6sLT6wCbCVWaFUQiy,171493,4
7,Very Good Question,The Big Picture,Uncle Rock,132373,spotify:track:0mXK9gvYp6TCHEJZO8eyaz,https://api.spotify.com/v1/tracks/0mXK9gvYp6TCHEJZO8eyaz,0.548,0.128,0,-13.67,1,0.0427,0.871,0.0,0.113,0.444,121.912,audio_features,0mXK9gvYp6TCHEJZO8eyaz,spotify:track:0mXK9gvYp6TCHEJZO8eyaz,https://api.spotify.com/v1/tracks/0mXK9gvYp6TCHEJZO8eyaz,https://api.spotify.com/v1/audio-analysis/0mXK9gvYp6TCHEJZO8eyaz,132373,4
8,Buddy Holly's Got the Hiccups,The Big Picture,Uncle Rock,137720,spotify:track:3NRfDAKg2mwCWIj8Yrafej,https://api.spotify.com/v1/tracks/3NRfDAKg2mwCWIj8Yrafej,0.645,0.572,9,-6.623,0,0.0685,0.417,9.58e-06,0.134,0.885,145.38,audio_features,3NRfDAKg2mwCWIj8Yrafej,spotify:track:3NRfDAKg2mwCWIj8Yrafej,https://api.spotify.com/v1/tracks/3NRfDAKg2mwCWIj8Yrafej,https://api.spotify.com/v1/audio-analysis/3NRfDAKg2mwCWIj8Yrafej,137720,4
9,Supernatural Sadness,Supernatural Sadness,Lily & Madeleine,210666,spotify:track:5IOXHUaxVGaJy1UQaWewoi,https://api.spotify.com/v1/tracks/5IOXHUaxVGaJy1UQaWewoi,0.618,0.745,0,-5.212,1,0.0335,0.12,0.0,0.336,0.585,104.957,audio_features,5IOXHUaxVGaJy1UQaWewoi,spotify:track:5IOXHUaxVGaJy1UQaWewoi,https://api.spotify.com/v1/tracks/5IOXHUaxVGaJy1UQaWewoi,https://api.spotify.com/v1/audio-analysis/5IOXHUaxVGaJy1UQaWewoi,210667,4
